id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
78,Academy of Distinguished Teachers,"dev, test, prod","adt.dl8.umn.edu, adt.dev.umn.edu, adt.stg.umn.edu, adt.umn.edu, www.adt.umn.edu","meyer150, lang0925, swart113",adt.umn.edu,AAP - VP of Academic Affairs/Provost,None,True,,True,Drupal
22,Boynton Health,"dev, test, prod","boynton-d9.prd.umn.edu, boynton-d9.dev.umn.edu, boynton-d9.stg.umn.edu, bhs.umn.edu, www.bhs.umn.edu, www.boynton.umn.edu","golde002, dougl361, dougl330, angus025, maxwe266, bh-marcomm, tvet0004, fonta056",boynton.umn.edu,AAP - VP of Academic Affairs/Provost,None,True,,True,Drupal
26,CCEL,"dev, test, prod","ccel-d9.dev.umn.edu, ccel-d9.stg.umn.edu, ccel-d9.prd.umn.edu, www.ccel.umn.edu, servicelearning.umn.edu, www.servicelearning.umn.edu","meyer150, lang0925, swart113",ccel.umn.edu,AAP - VP of Academic Affairs/Provost,None,True,,True,Drupal
77,Center for Academic Planning and Exploration,"dev, test, prod","cape.dev.umn.edu, cape.stg.umn.edu, cape.umn.edu, cape.prd.umn.edu, www.cape.umn.edu, capeinternational.umn.edu","meyer150, lang0925, swart113",cape.umn.edu,AAP - VP of Academic Affairs/Provost,None,True,,True,Drupal
38,Center for Bioethics,"dev, test, prod","bioethics-d8.dev.umn.edu, bioethics-d8.stg.umn.edu, www.bioethics.umn.edu","fuchs142, incex011, broek023, moria116, dlv, marks265, lang0925",bioethics.umn.edu,AAP - VP of Academic Affairs/Provost,None,True,,True,Drupal
80,Center for Educational Innovation,"dev, test, prod","cei-d8.dev.umn.edu, cei-d8.stg.umn.edu, cei.prd.umn.edu, www.cei.umn.edu, www.thankateacher.umn.edu, thankateacher.umn.edu, facultyguidetoteamwork.umn.edu, teamwork.umn.edu, cei.umn.edu","meyer150, lang0925, swart113",cei.umn.edu,AAP - VP of Academic Affairs/Provost,None,True,,True,Drupal
56,Center for Global Health & Social Responsibility,"dev, test, prod","www.globalhealthcenter.umn.edu, globalhealthcenter-d8.dev.umn.edu, globalhealthcenter-d8.stg.umn.edu","dlv, broek023, fuchs142, incex011, apendlet",globalhealthcenter.umn.edu,AAP - VP of Academic Affairs/Provost,None,True,,True,Drupal
68,Chemistry and Math Placement,"dev, test, prod","placement.dev.umn.edu, placement.stg.umn.edu","lang0925, meyer150, swart113",placement.umn.edu,AAP - VP of Academic Affairs/Provost,None,True,,True,Drupal
66,College Readiness Consortium,"dev, test, prod","collegeready.dev.umn.edu, collegeready.stg.umn.edu, collegeready.umn.edu","meyer150, lang0925, swart113",collegeready.umn.edu,AAP - VP of Academic Affairs/Provost,None,True,,True,Drupal
48,Community-University Health Care Center,"dev, test, prod","cuhcc-d8.dev.umn.edu, cuhcc-d8.stg.umn.edu, cuhcc.umn.edu, www.cuhcc.umn.edu","dlv, broek023, fuchs142, incex011",cuhcc.umn.edu,AAP - VP of Academic Affairs/Provost,None,True,,True,Drupal
54,Consortium on Aging,prod,"aging-consortium.dev.umn.edu, aging-consortium.stg.umn.edu, aging-consortium.umn.edu",dlv,aging-consortium.umn.edu,AAP - VP of Academic Affairs/Provost,None,True,,True,Drupal
50,COURSE REVIEW PORTAL,"dev, test, prod","crp-d8.dev.umn.edu, crp-d8.stg.umn.edu, crp-d8.prd.umn.edu, www.crp.umn.edu","meyer150, lang0925, swart113",crp.umn.edu,AAP - VP of Academic Affairs/Provost,None,True,,True,Drupal
27,crsc.umn.edu,"dev, test, prod","crsc-d9.dev.umn.edu, crsc-d9.stg.umn.edu, www.crsc.umn.edu","dlv, fuchs142, incex011, broek023, moria116, marks265",crsc.umn.edu,AAP - VP of Academic Affairs/Provost,None,True,,True,Drupal
35,CTSI,"dev, test, prod","ctsi-d8.dev.umn.edu, ctsi-d8.stg.umn.edu, ctsi-d8.prd.umn.edu, www.ctsi.umn.edu","dlv, fuchs142, incex011, broek023, marks265",ctsi.umn.edu,AAP - VP of Academic Affairs/Provost,None,True,,True,Drupal
25,Cura 50,"dev, test, prod","cura50-d9.dev.umn.edu, cura50-d9.stg.umn.edu, www.cura50.umn.edu","meyer150, lang0925, swart113",cura50.umn.edu,AAP - VP of Academic Affairs/Provost,None,True,,True,Drupal
61,Faculty.umn.edu,"dev, test, prod","faculty-d8.dev.umn.edu, faculty-d8.stg.umn.edu, www.faculty.umn.edu","meyer150, lang0925, swart113",faculty.umn.edu,AAP - VP of Academic Affairs/Provost,None,True,,True,Drupal
67,Grand Challenge Curriculum,"dev, test, prod","gcc.dev.umn.edu, gcc.stg.umn.edu","lang0925, meyer150, swart113",gcc.umn.edu,AAP - VP of Academic Affairs/Provost,None,True,,True,Drupal
16,Health,"dev, test, prod","health-d9.dev.umn.edu, health-d9.stg.umn.edu, www.health-d9.umn.edu, health.prd.umn.edu, www.health.umn.edu, researchservices.umn.edu, www.researchservices.umn.edu","fuchs142, dlv, incex011, moria116, nuebl001, kirkw068, marks265, broek023, engeb013",health.umn.edu,AAP - VP of Academic Affairs/Provost,None,True,,True,Drupal
30,Health Information Privacy & Compliance Office,"dev, test, prod","healthprivacy-dl9.dev.umn.edu, healthprivacy-dl9.stg.umn.edu, healthprivacy.dl9.umn.edu, www.healthprivacy.umn.edu",dlv,healthprivacy.umn.edu,AAP - VP of Academic Affairs/Provost,None,True,,True,Drupal
28,Health Sciences Classroom Services,"dev, test, prod","healthclassrooms.dev.umn.edu, healthclassrooms.stg.umn.edu","meyer150, engeb013, lang0925, swart113",healthclassrooms.umn.edu,AAP - VP of Academic Affairs/Provost,None,True,,True,Drupal
41,health1 / IPE,"dev, test, prod","health1.umn.edu, health1.dev.umn.edu, health1.stg.umn.edu, ipe.dev.umn.edu, ipe.stg.umn.edu, ipe.umn.edu, www.ipe.umn.edu","meyer150, lang0925, engeb013, swart113",health1.umn.edu,AAP - VP of Academic Affairs/Provost,None,True,,True,Drupal
49,Hennepin-University Partnership,"dev, test, prod","hup-d8.dev.umn.edu, hup-d8.stg.umn.edu, www.hup.umn.edu, hup.umn.edu","meyer150, lang0925, swart113",hup.umn.edu,AAP - VP of Academic Affairs/Provost,None,True,,True,Drupal
82,Imagine Fund,"dev, test, prod","imaginefund.umn.edu, www.imaginefund.umn.edu, imaginefund-d8.dev.umn.edu, imaginefund-d8.stg.umn.edu, imaginefund-d8.umn.edu, artsandhumanities.umn.edu, www.artsandhumanities.umn.edu","meyer150, lang0925, swart113",imaginefund.umn.edu,AAP - VP of Academic Affairs/Provost,None,True,,True,Drupal
