id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
137,Academic Support Resources,"test, prod","asr.dev.umn.edu, asr.stg.umn.edu, asr.dl8.umn.edu, www.asr.umn.edu, asr.umn.edu",saracokl,asr.umn.edu,ASR - Academic Support Resources,None,True,,True,Drupal
138,Classroom Management,"dev, test","classroom-old.dev.umn.edu, classroom-old.stg.umn.edu, www.classroom.umn.edu","ande7947, whit0694, thoma127, dlagerro, eeklund, isen0011, vando027, kusso001, simps614, asrweb",classroom.umn.edu,ASR - Academic Support Resources,None,True,,True,Drupal
125,D10 University of Minnesota Catalogs,"dev, test, prod","catalogs-d10.dev.umn.edu, catalogs-d10.stg.umn.edu, catalogs.prd.umn.edu, www.catalogs.umn.edu, catalog.umn.edu, www.catalog.umn.edu",ande7947,catalogs.umn.edu,ASR - Academic Support Resources,None,True,,True,Drupal
128,DORS Support,"dev, test, prod","dors.stg.umn.edu, dors.dev.umn.edu, dors.dl9.umn.edu","nicol072, thillesh",dors.umn.edu,ASR - Academic Support Resources,None,True,,True,Drupal
131,One Stop Crookston,"dev, test, prod","onestop-crk.dev.umn.edu, onestop-crk.stg.umn.edu, onestop-crk-d9.prd.umn.edu","dlagerro, eeklund, whit0694, isen0011, thoma127, ande7947, simps614",onestop.crk.umn.edu,ASR - Academic Support Resources,None,True,,True,Drupal
136,One Stop Drupal 8 development site,dev,"onestop-d8.umn.edu, onestop-d8.dev.umn.edu, onestop-d8.stg.umn.edu",vando027,onestop.umn.edu,ASR - Academic Support Resources,None,True,,True,Drupal
132,One Stop Duluth,"dev, test, prod","onestop-dl.dev.umn.edu, onestop-dl.stg.umn.edu, onestop-dl.prd.umn.edu","dlagerro, eeklund, whit0694, isen0011, thoma127, ande7947, simps614",onestop.d.umn.edu,ASR - Academic Support Resources,None,True,,True,Drupal
130,One Stop Morris,"dev, test, prod","onestop-morris.dev.umn.edu, onestop-morris.stg.umn.edu, onestop-morris.prd.umn.edu, www.onestop.morris.umn.edu","dlagerro, eeklund, whit0694, isen0011, thoma127, ande7947, simps614",onestop.morris.umn.edu,ASR - Academic Support Resources,None,True,,True,Drupal
129,One Stop Rochester,"dev, test, prod","onestop-r.dev.umn.edu, onestop-r.stg.umn.edu, onestop-r.prd.umn.edu","dlagerro, eeklund, whit0694, isen0011, thoma127, ande7947, simps614",onestop.r.umn.edu,ASR - Academic Support Resources,None,True,,True,Drupal
133,One Stop Twin Cities,"dev, test, prod","onestop-tc.dev.umn.edu, onestop-tc.stg.umn.edu, onestop-tc.prd.umn.edu, www.onestop.umn.edu","thoma127, isen0011, whit0694, dlagerro, eeklund, ande7947, moha1234, simps614",onestop.umn.edu,ASR - Academic Support Resources,None,True,,True,Drupal
126,Project and Change Management Collaborators,"dev, test, prod","pcmc.stg.umn.edu, pcmc.dev.umn.edu, pcmc.dl9.umn.edu, www.pcmc.umn.edu","mathe011, kweber",pcmc.umn.edu,ASR - Academic Support Resources,None,True,,True,Drupal
