id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
1964,,,,,forest-insects.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,,,True,Google Sites
1965,,,,,forevergreenpartnership.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,,,True,Google Sites
1966,,,,,gatheringpartners.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,,,True,Google Sites
1967,,,,,johnsonpolaskylab.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,,,True,Google Sites
1968,,,,,mcee.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,,,True,Google Sites
1969,,,,,mcrc.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,,,True,Google Sites
1970,,,,,minnesotabeeatlas.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,,,True,Google Sites
1971,,,,,mnbumblebeeatlas.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,,,True,Google Sites
1972,,,,,nestquest.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,,,True,Google Sites
1973,,,,,polaskylab.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,,,True,Google Sites
1974,,,,,pollinatorambassadors.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,,,True,Google Sites
1975,,,,,surface.esci.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,,,True,Google Sites
1976,,,,,www.forest-insects.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,,,True,Google Sites
1977,,,,,intranet.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,,,True,Google Sites
