id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
498,10 Plants,prod,"top10plantsmn.umn.edu, top10plantsmn.dev.umn.edu",lamxx025,top10plantsmn.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,True,,True,Drupal
303,Ag Business Club,prod,"abc.dev.umn.edu, abc.stg.umn.edu",lamxx025,abc.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,True,,True,Drupal
468,"Agricultural Education, Communication and Marketing","dev, test, prod","ag-ed-cfans.dev.umn.edu, ag-ed-cfans.stg.umn.edu, ag-ed-cfans.prd.umn.edu, www.ag-ed.cfans.umn.edu",lamxx025,ag-ed.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,True,,True,Drupal
435,Agronomy,"dev, test, prod","agronomy-d8-cfans.dev.umn.edu, agronomy-d8-cfans.stg.umn.edu, www.agronomy.cfans.umn.edu, agronomy.prd.umn.edu",lamxx025,agronomy.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,True,,True,Drupal
349,Anderson Lab,prod,"andersonlab-cfans.dev.umn.edu, andersonlab-cfans.stg.umn.edu",lamxx025,andersonlab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,True,,True,Drupal
357,Animal Gene,prod,"animalgene.dl9.umn.edu, animalgene.dev.umn.edu, animalgene.stg.umn.edu, www.animalgene.umn.edu",lamxx025,animalgene.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,True,,True,Drupal
474,Animal Science,"dev, test, prod","ansci-d8.dev.umn.edu, ansci-d8.stg.umn.edu, ansci-d8.prd.umn.edu, www.ansci.umn.edu, ansci.umn.edu",lamxx025,ansci.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,True,,True,Drupal
385,Animal Systems Biology,"test, prod","www.animalsystemsbiology.cfans.umn.edu, animalsystemsbiology.stg.umn.edu, animalsystemsbiology.dev.umn.edu, animalsystemsbiology.dl8.umn.edu",lamxx025,animalsystemsbiology.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,True,,True,Drupal
288,Aphid Alert,prod,"aphidalert-dl9.dev.umn.edu, aphidalert-dl9.stg.umn.edu, aphidalert.dl9.umn.edu",lamxx025,aphidalert.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,True,,True,Drupal
352,Applied Plant Sciences Graduate Program,"dev, test, prod","appliedplantsciences.dev.umn.edu, appliedplantsciences.stg.umn.edu, appliedplantsciences.prd.umn.edu, www.appliedplantsciences.umn.edu",lamxx025,appliedplantsciences.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,True,,True,Drupal
351,Applied Weeds,prod,"appliedweeds.dev.umn.edu, appliedweeds.stg.umn.edu, appliedweeds.dl9.umn.edu, www.appliedweeds.cfans.umn.edu",lamxx025,appliedweeds.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,True,,True,Drupal
446,AquaGen,"test, prod","aquaticgenetics.dl8.umn.edu, aquaticgenetics.dev.umn.edu, aquaticgenetics.stg.umn.edu",lamxx025,aquaticgenetics.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,True,,True,Drupal
492,Aquaponics,"test, prod","www.aquaponics.umn.edu, aquaponics.dev.umn.edu, aquaponics.stg.umn.edu, aquaponics.dl8.umn.edu, aquaponics.umn.edu",lamxx025,aquaponics.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",None,True,,True,Drupal
