id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
542,Agile Writing Project,"test, prod","agilewriting.stg.umn.edu, agilewriting.dev.umn.edu, agilewriting.dl9.umn.edu",moses004,agilewriting.umn.edu,CLA - College of Liberal Arts,None,False,,True,Drupal
609,AISOS,"test, prod","aisos.stg.umn.edu, aisos.dev.umn.edu, aisos.dl8.umn.edu",mcfa0086,aisos.umn.edu,CLA - College of Liberal Arts,Moved from CLA - LATIS - Liberal Arts Tech Innovation Services on 2025-05-15,False,,True,Drupal
557,Anthropological Genetics Laboratories at UMN,prod,"anthgen-lab.dev.umn.edu, anthgen-lab.stg.umn.edu",mnievesc,anthgen-lab.umn.edu,CLA - College of Liberal Arts,None,False,,True,Drupal
598,Art Checkout,prod,artcheckout.umn.edu,hase,artcheckout.umn.edu,CLA - College of Liberal Arts,None,False,,True,Drupal
523,ArTeS Collaborative Research Studio,prod,"artes.dev.umn.edu, artes.stg.umn.edu",willow,artes.umn.edu,CLA - College of Liberal Arts,None,False,,True,Drupal
576,Ascan,"test, prod","ascan.stg.umn.edu, ascan.dev.umn.edu, ascan.dl8.umn.edu",koern011,ascan.umn.edu,CLA - College of Liberal Arts,None,False,,True,Drupal
577,Asian Languages & Literatures Summer Program,"test, prod","amesummerprogram.stg.umn.edu, amesummerprogram.dev.umn.edu, amesummerprogram.dl8.umn.edu",kvanpee,amesummerprogram.umn.edu,CLA - College of Liberal Arts,None,False,,True,Drupal
531,Body Knowledge,prod,"bodyknowledge.dev.umn.edu, bodyknowledge.stg.umn.edu",mjeudy,bodyknowledge.umn.edu,CLA - College of Liberal Arts,None,False,,True,Drupal
637,Career Counseling and Assessment Clinic,"test, prod","careercounseling.dl8.umn.edu, careercounseling.dev.umn.edu, careercounseling.stg.umn.edu, www.careercounseling.umn.edu",smoeller,careercounseling.umn.edu,CLA - College of Liberal Arts,Moved from CLA - PSYCH - Psychology on 2025-05-15,False,,True,Drupal
580,ceramics.umn.edu,prod,"ceramics.dev.umn.edu, ceramics.stg.umn.edu",roth0292,ceramics.umn.edu,CLA - College of Liberal Arts,None,False,,True,Drupal
532,CLA Strategic Innovation Office,prod,"latisstrategy.dev.umn.edu, latisstrategy.stg.umn.edu",hansenj,latisstrategy.umn.edu,CLA - College of Liberal Arts,None,False,,True,Drupal
575,Collaboratory,"test, prod","collaboratory.dev.umn.edu, collaboratory.stg.umn.edu","soneson, carri093",collaboratory.umn.edu,CLA - College of Liberal Arts,None,False,,True,Drupal
554,Colloquium on Innovative World Language Pedagogies,prod,"wlpcolloquium.dev.umn.edu, wlpcolloquium.stg.umn.edu",kvanpee,wlpcolloquium.umn.edu,CLA - College of Liberal Arts,None,False,,True,Drupal
535,"Creativity, Mental Health and the Developing Brain in Adolescence and Young Adulthood",prod,"creativity-central.dev.umn.edu, creativity-central.stg.umn.edu","smoeller, gree3161",creativity-central.umn.edu,CLA - College of Liberal Arts,None,False,,True,Drupal
600,danp.umn.edu,"test, prod","danp.dl8.umn.edu, danp.stg.umn.edu, danp.dev.umn.edu",danp,danp.umn.edu,CLA - College of Liberal Arts,None,False,,True,Drupal
615,Data Analytics & Visualization Lab,prod,"data-analytics-lab.dev.umn.edu, data-analytics-lab.stg.umn.edu",smoeller,data-analytics-lab.psych.umn.edu,CLA - College of Liberal Arts,Moved from CLA - PSYCH - Psychology on 2025-05-15,False,,True,Drupal
603,Digital Service Bureau,prod,dsb.umn.edu,choudek,dsb.umn.edu,CLA - College of Liberal Arts,None,False,,True,Drupal
602,Environmental Humanities Initiative,prod,envhum.dl8.umn.edu,"danp, mill7447, helge407, bran0487",envhum.umn.edu,CLA - College of Liberal Arts,None,False,,True,Drupal
601,Future of Work NCA'19 Workshop,prod,futureofwork.umn.edu,msw,futureofwork.umn.edu,CLA - College of Liberal Arts,None,False,,True,Drupal
