id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
1978,,,,,ajhmohr.umn.edu,CLA - College of Liberal Arts,None,,,True,Google Sites
1979,,,,,geocommons.umn.edu,CLA - College of Liberal Arts,None,,,True,Google Sites
1980,,,,,gopherequityproject.umn.edu,CLA - College of Liberal Arts,None,,,True,Google Sites
1981,,,,,greatlakestek.umn.edu,CLA - College of Liberal Arts,None,,,True,Google Sites
1982,,,,,humanrights-theatre.umn.edu,CLA - College of Liberal Arts,None,,,True,Google Sites
1983,,,,,immigrantcovid.umn.edu,CLA - College of Liberal Arts,None,,,True,Google Sites
1984,,,,,langin.umn.edu,CLA - College of Liberal Arts,None,,,True,Google Sites
1985,,,,,latis.umn.edu,CLA - College of Liberal Arts,None,,,True,Google Sites
1986,,,,,rhizomes.umn.edu,CLA - College of Liberal Arts,None,,,True,Google Sites
1987,,,,,richa.nagar.umn.edu,CLA - College of Liberal Arts,None,,,True,Google Sites
1988,,,,,ugradconf.umn.edu,CLA - College of Liberal Arts,None,,,True,Google Sites
1989,,,,,umnguthrieactinggrads.umn.edu,CLA - College of Liberal Arts,None,,,True,Google Sites
1990,,,,,calambur.umn.edu,CLA - College of Liberal Arts,None,,,True,Google Sites
1991,,,,,claoit.umn.edu,CLA - College of Liberal Arts,None,,,True,Google Sites
1992,,,,,anaforcinito.umn.edu,CLA - College of Liberal Arts,None,,,True,Google Sites
