id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
619,Affordance Perception-Action Laboratory,"test, prod","apal.stg.umn.edu, apal.dev.umn.edu, apal.dl8.umn.edu","kin, sweet006",apal.umn.edu,CLA - College of Liberal Arts,Moved from CLA - PSYCH - Psychology on 2025-05-15,True,,True,Drupal
583,ANGST Lab,"test, prod","angst.dl8.umn.edu, angst.stg.umn.edu, angst.psych.umn.edu",smoeller,angst.umn.edu,CLA - College of Liberal Arts,None,True,,True,Drupal
626,Auditory Perception and Cognition Laboratory,"test, prod","apc.dl8.umn.edu, apc.stg.umn.edu, apc.psych.umn.edu",smoeller,sandbox-apc.psych.umn.edu,CLA - College of Liberal Arts,Moved from CLA - PSYCH - Psychology on 2025-05-15,True,,True,Drupal
634,Brain and Behavioral Processes Laboratory,"test, prod","lucianalab.dl8.umn.edu, lucianalab.dev.umn.edu, lucianalab.stg.umn.edu",lucia003,lucianalab.psych.umn.edu,CLA - College of Liberal Arts,Moved from CLA - PSYCH - Psychology on 2025-05-15,True,,True,Drupal
642,Center for Applied & Translational Sensory Science,"test, prod","catss.dl8.umn.edu, catss.stg.umn.edu",smoeller,catss.umn.edu,CLA - College of Liberal Arts,Moved from CLA - PSYCH - Psychology on 2025-05-15,True,,True,Drupal
640,Center for Clinical Movement Science,"test, prod","ccms.dl8.umn.edu, ccms.stg.umn.edu, ccms.dev.umn.edu, www.ccms.umn.edu",smoeller,ccms.umn.edu,CLA - College of Liberal Arts,Moved from CLA - PSYCH - Psychology on 2025-05-15,True,,True,Drupal
606,CLA Intranet,"dev, test, prod","intranet-cla.dev.umn.edu, intranet-cla.stg.umn.edu, neighborhood.cla.umn.edu, www.neighborhood.cla.umn.edu, claneighborhood.umn.edu, www.claneighborhood.umn.edu",simonw,intranet.cla.umn.edu,CLA - College of Liberal Arts,None,True,,True,Drupal
527,College of Liberal Arts,"dev, test, prod","cla.dev.umn.edu, cla.stg.umn.edu, www.cla.umn.edu, cla.umn.edu","simonw, thom7978",cla.umn.edu,CLA - College of Liberal Arts,None,True,,True,Drupal
643,Decision Making Laboratory,prod,dmlab.psych.umn.edu,smoeller,dmlab.psych.umn.edu,CLA - College of Liberal Arts,Moved from CLA - PSYCH - Psychology on 2025-05-15,True,,True,Drupal
631,DeYoung Lab,"test, prod","deyoung.dl8.umn.edu, deyoung.stg.umn.edu, deyoung.psych.umn.edu",cdeyoung,deyoung.umn.edu,CLA - College of Liberal Arts,Moved from CLA - PSYCH - Psychology on 2025-05-15,True,,True,Drupal
