id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
797,2023 Midwest Workshop on Control and Game Theory,prod,"mwcgt2023.dev.umn.edu, mwcgt2023.stg.umn.edu",kdukart,mwcgt2023.umn.edu,CSE - College of Science & Engineering,None,False,,True,Drupal
788,2024 Dusty Plasma Workshop,"test, prod","dpw2024.dev.umn.edu, dpw2024.stg.umn.edu","korts001, kumar749",dpw2024.umn.edu,CSE - College of Science & Engineering,None,False,,True,Drupal
792,3D Electronics Center,prod,"3de.dev.umn.edu, 3de.stg.umn.edu, threede.umn.edu",mfburns,3de.umn.edu,CSE - College of Science & Engineering,None,False,,True,Drupal
873,acmw,prod,"acmw.stg.umn.edu, acmw.dev.umn.edu, acmw.dl9.umn.edu, acmw.umn.edu","watt0087, kmthomas",acmw.umn.edu,CSE - College of Science & Engineering,None,False,,True,Drupal
769,ACS UMN Student Chapter,prod,"acs.stg.umn.edu, acs.dev.umn.edu, acs.dl9.umn.edu",schul132,acs.chem.umn.edu,CSE - College of Science & Engineering,Moved from CSE - CHEM - Dept of Chemistry on 2025-05-15,False,,True,Drupal
1010,Adel Elmahdy,prod,"adel.dev.umn.edu, adel.stg.umn.edu, adel.dl8.umn.edu",adel,adel.umn.edu,CSE - College of Science & Engineering,Moved from CSE - ECE - Electrical & Comp Engineering on 2025-05-15,False,,True,Drupal
823,AEM2022,prod,"aem2022.dev.umn.edu, aem2022.stg.umn.edu",barne003,aem2022.umn.edu,CSE - College of Science & Engineering,None,False,,True,Drupal
888,Akkin Lab,"dev, test, prod","akkinlab.stg.umn.edu, akkinlab.dev.umn.edu, akkinlab.dl9.umn.edu","akkin, mcdo0486",akkinlab.umn.edu,CSE - College of Science & Engineering,None,False,,True,Drupal
661,Ali Sulaiman,prod,"sulaiman.dev.umn.edu, sulaiman.stg.umn.edu",khand080,sulaiman.umn.edu,CSE - College of Science & Engineering,Moved from CSE on 2025-05-15,False,,True,Drupal
982,AMAAZE,"test, prod",amaaze.stg.umn.edu,"olver, yezz0003, jwcalder",amaaze.umn.edu,CSE - College of Science & Engineering,None,False,,True,Drupal
983,American Society of Mechanical Engineers,prod,"asme.dl8.umn.edu, asme.umn.edu",brose044,asme.umn.edu,CSE - College of Science & Engineering,None,False,,True,Drupal
692,Aqueous Geochemistry,prod,"aqueousgeochem.dev.umn.edu, aqueousgeochem.stg.umn.edu",wes,aqueousgeochem.esci.umn.edu,CSE - College of Science & Engineering,Moved from CSE on 2025-05-15,False,,True,Drupal
1005,arctic,"test, prod","www.arctic.umn.edu, arctic.stg.umn.edu, arctic.dev.umn.edu, arctic.dl9.umn.edu",lilja,arctic.umn.edu,CSE - College of Science & Engineering,Moved from CSE - ECE - Electrical & Comp Engineering on 2025-05-15,False,,True,Drupal
781,ASCEND,prod,"ascend.stg.umn.edu, ascend.dev.umn.edu",sang,ascend.umn.edu,CSE - College of Science & Engineering,None,False,,True,Drupal
949,Automotive Propulsion Control Laboratory,prod,apcl.dev.umn.edu,"suh00016, lille164, mdunst",apcl.umn.edu,CSE - College of Science & Engineering,None,False,,True,Drupal
776,AV Teleoperation,"test, prod","avteleoperation.dev.umn.edu, avteleoperation.prd.umn.edu","zhang089, gurum021, fezeu001, bilal021, carpe415",avteleoperation.umn.edu,CSE - College of Science & Engineering,None,False,,True,Drupal
738,Azarin Research Group,"test, prod","azarin.dl8.umn.edu, azarin.stg.umn.edu",mcdo0486,azarin.cems.umn.edu,CSE - College of Science & Engineering,Moved from CSE - CEMS - Chemical Engineering & Materials Sci on 2025-05-15,False,,True,Drupal
846,Barany Research Group,"dev, test, prod","barany.stg.umn.edu, barany.dev.umn.edu, barany.dl9.umn.edu","barany, schul132",barany.chem.umn.edu,CSE - College of Science & Engineering,None,False,,True,Drupal
