id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
1996,,,,,3deapnrt.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
1997,,,,,2016balloontech.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
1998,,,,,2017balloontech.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
1999,,,,,abwatson.math.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2000,,,,,arriaga.chem.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2001,,,,,arriaga.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2002,,,,,balloontech.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2003,,,,,bao.math.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2004,,,,,boyn.chem.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2005,,,,,carlson.chem.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2006,,,,,cbitg.chem.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2007,,,,,chembio.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2008,,,,,cuwip2020-mn.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2009,,,,,eitc2018.cseit.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2010,,,,,favero.math.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2011,,,,,feng.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2012,,,,,foo.math.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2013,,,,,friendinstem.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2014,,,,,frontiera.chem.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2015,,,,,gadkari.chem.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2016,,,,,gemm.math.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2017,,,,,geobiology.esci.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2018,,,,,griffinlab.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2019,,,,,handy.math.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2020,,,,,hartwell.bme.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2021,,,,,jst.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2022,,,,,kang-research-group.esci.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2023,,,,,kang.esci.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2024,,,,,kass.chem.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2025,,,,,kenagy.chem.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2026,,,,,lamb.chem.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2027,,,,,lu.math.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2028,,,,,magicoil.ece.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2029,,,,,magnetism.esci.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2030,,,,,mec.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2031,,,,,meteorites.esci.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2032,,,,,mikehill.math.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2033,,,,,ml-ds-pes-workshop.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2034,,,,,mop2024.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2035,,,,,mosher.math.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2036,,,,,msom2024.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2037,,,,,mtns2016.ece.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2038,,,,,nse2024.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2039,,,,,outreach.esci.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2040,,,,,pierre.chem.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2041,,,,,polypmse.chem.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2042,,,,,polypmse.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2043,,,,,pomerantz.chem.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2044,,,,,puchnerlab.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2045,,,,,queerscience.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2046,,,,,rkt.aem.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2047,,,,,roberts.chem.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2048,,,,,rockandmineralphysics.esci.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2049,,,,,seismology.esci.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2050,,,,,services.cseit.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2051,,,,,spincom.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2052,,,,,stamp.esci.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2053,,,,,swanson-hysell.esci.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2054,,,,,uav.aem.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2055,,,,,uav.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2056,,,,,weigandt.math.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2057,,,,,wimmn.math.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2058,,,,,wisechem.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2059,,,,,www.jst.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2060,,,,,www.uav.aem.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2061,,,,,yang.cege.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
2062,,,,,combinatoricsseminar.math.umn.edu,CSE - College of Science & Engineering,None,,,True,Google Sites
