id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
899,AEM 2015,prod,"aem2015-cege.dev.umn.edu, aem2015-cege.stg.umn.edu, aem2015-cege.dl9.umn.edu",mcdo0486,aem2015.cege.umn.edu,CSE - College of Science & Engineering,None,False,,False,Drupal
898,AEM 2017,prod,"aem2017-cege.dev.umn.edu, aem2017-cege.stg.umn.edu, aem2017-cege.dl9.umn.edu",mcdo0486,aem2017.cege.umn.edu,CSE - College of Science & Engineering,None,False,,False,Drupal
897,AEM 2019,prod,"aem2019-cege.dev.umn.edu, aem2019-cege.stg.umn.edu, aem2019-cege.dl9.umn.edu",mcdo0486,aem2019.cege.umn.edu,CSE - College of Science & Engineering,None,False,,False,Drupal
936,Anette von der Handt Faculty Page,"test, prod","avdhandt.stg.umn.edu, avdhandt.dev.umn.edu, avdhandt.dl8.umn.edu",avdhandt,avdhandt.umn.edu,CSE - College of Science & Engineering,None,False,,False,Drupal
885,Ashkenazi Lab,"dev, test, prod","ashkenazi-lab.stg.umn.edu, ashkenazi-lab.dev.umn.edu, ashkenazi-lab.dl9.umn.edu, ashkenazi-lab.umn.edu","ashke003, mcdo0486",ashkenazi-lab.umn.edu,CSE - College of Science & Engineering,None,False,,False,Drupal
886,Barocas Research Group,prod,"barocas-bme.dev.umn.edu, barocas-bme.stg.umn.edu, barocas.bme.umn.edu",mcdo0486,barocas.bme.umn.edu,CSE - College of Science & Engineering,None,False,,False,Drupal
932,Center for BioInorganic Chemistry,"test, prod","cbic.dl8.umn.edu, cbic.dev.umn.edu, cbic.stg.umn.edu","barte113, rapa0020",cbic.chem.umn.edu,CSE - College of Science & Engineering,None,False,,False,Drupal
851,Charles E. Woodward,"test, prod","cwoodward.dev.umn.edu, cwoodward.stg.umn.edu",woodw024,cwoodward.umn.edu,CSE - College of Science & Engineering,None,False,,False,Drupal
763,Cramer Research Group,"test, prod","cramer.stg.umn.edu, cramer.dev.umn.edu, cramer.dl9.umn.edu",schul132,cramer.chem.umn.edu,CSE - College of Science & Engineering,Moved from CSE - CHEM - Dept of Chemistry on 2025-05-15,False,,False,Drupal
802,CSE IT Help Guides,"dev, test","help-cse.stg.umn.edu, help-cse.dev.umn.edu","danguyen, sgolley",help.cse.umn.edu,CSE - College of Science & Engineering,None,False,,False,Drupal
