id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
1224,3D Bioprinting Facility,prod,"bioprint.dev.umn.edu, bioprint.stg.umn.edu, bioprint.dl9.umn.edu, bioprint.umn.edu, www.bioprint.umn.edu",pacel012,bioprint.umn.edu,MED - Medical School,None,False,,True,Drupal
1206,ACRC within the Dept. of Emergency Medicine,prod,"acrc.dev.umn.edu, acrc.stg.umn.edu","staug002, sannam, silva364, megant",acrc.umn.edu,MED - Medical School,None,False,,True,Drupal
1169,ACTIV-6 OVMC,prod,"activ6-ovmc.dev.umn.edu, activ6-ovmc.stg.umn.edu",adangol,activ6-ovmc.umn.edu,MED - Medical School,None,False,,True,Drupal
1274,activ6.umn.edu,prod,"activ6.dev.umn.edu, activ6.stg.umn.edu","shanb007, hage0573, pate1125",activ6.umn.edu,MED - Medical School,None,False,,True,Drupal
1372,Adolescent Brain Function Lab (ABF Lab),prod,"abflab.umn.edu, abflab.dev.umn.edu",lewi1538,abflab.umn.edu,MED - Medical School,Moved from MED - PSYCH - Psychiatry on 2025-05-15,False,,True,Drupal
1322,Adrenoleukodystrophy National Registry,prod,"aldnr.dev.umn.edu, aldnr.stg.umn.edu, aldnr.umn.edu","gupta461, stof0040",aldnr.umn.edu,MED - Medical School,None,False,,True,Drupal
1221,Advanced Cardiac Physiology & Anatomy Short Course,"test, prod","cardiacshortcoursematerials.dev.umn.edu, cardiacshortcoursematerials.stg.umn.edu","adangol, mayhe001",cardiacshortcoursematerials.umn.edu,MED - Medical School,None,False,,True,Drupal
1298,Airway Accelerated Learning (AAL),"test, prod","airway.dev.umn.edu, airway.stg.umn.edu","joh17977, willi067, abarrett",airway.umn.edu,MED - Medical School,None,False,,True,Drupal
1202,Alejandro Lab,prod,"alejandrolab.dev.umn.edu, alejandrolab.stg.umn.edu",mayhe001,alejandrolab.umn.edu,MED - Medical School,None,False,,True,Drupal
1399,Alex Kalyuzhny Research,"test, prod","alexkalyuzhnyresearch.stg.umn.edu, alexkalyuzhnyresearch.dev.umn.edu, alexkalyuzhnyresearch.dl9.umn.edu",kalyu001,alexkalyuzhnyresearch.umn.edu,MED - Medical School,Moved from NSCI Neuroscience Admin (11918) on 2025-05-15,False,,True,Drupal
1368,Alport Syndrome Treatments and Outcomes Registry,"test, prod","astor.umn.edu, astor.stg.umn.edu, astor.ahc.umn.edu","mert0067, rheau002",astor.umn.edu,MED - Medical School,Moved from MED - PEDS - Pediatric on 2025-05-15,False,,True,Drupal
1142,ALRT Human Resources,prod,"alrthr.umn.edu, alrthr.dev.umn.edu, alrthr.stg.umn.edu","heine354, adangol",alrthr.umn.edu,MED - Medical School,None,False,,True,Drupal
1166,ALS Clinical and Research Program,prod,"als.stg.umn.edu, als.dev.umn.edu",adangol,als.umn.edu,MED - Medical School,None,False,,True,Drupal
1210,ALS Natural History Study,prod,"alsnaturalhistory.dev.umn.edu, alsnaturalhistory.stg.umn.edu, alsnaturalhistory.umn.edu","neuro-comms, hans5471",alsnaturalhistory.umn.edu,MED - Medical School,None,False,,True,Drupal
1340,Anup Dangol,prod,"medres.umn.edu, medres.dev.umn.edu, bios.med.umn.edu",adangol,medres.umn.edu,MED - Medical School,None,False,,True,Drupal
1320,Apply Mindfulness to Pain (LAMP) Project,"test, prod","lamp.dl9.umn.edu, lamp.stg.umn.edu, lamp.dev.umn.edu",ehagel,lamp.umn.edu,MED - Medical School,None,False,,True,Drupal
1355,ARMOR,prod,"armor.dl8.umn.edu, armor.umn.edu",mhubblin,armor.umn.edu,MED - Medical School,None,False,,True,Drupal
1294,Asakura Lab,prod,"asakuralab.dev.umn.edu, asakuralab.stg.umn.edu",hans5471,asakuralab.umn.edu,MED - Medical School,None,False,,True,Drupal
1369,Autism Research,"dev, test, prod","autismresearch.stg.umn.edu, autismresearch.dev.umn.edu, autismresearch.dl9.umn.edu",atseng,autismresearch.umn.edu,MED - Medical School,Moved from MED - PSYCH - Psychiatry on 2025-05-15,False,,True,Drupal
1254,bartolomucci.ibp.umn.edu,prod,"bartolomucci.dev.umn.edu, bartolomucci.stg.umn.edu, bartolomucci.prd.umn.edu, bartolomuccilab.umn.edu","abartolo, adangol",bartolomuccilab.umn.edu,MED - Medical School,None,False,,True,Drupal
1347,Batchelor Lab,prod,"batchelorlab.dev.umn.edu, batchelorlab.umn.edu",ebatchel,batchelorlab.umn.edu,MED - Medical School,None,False,,True,Drupal
1228,Behavioral Coaching for Parents of Children with ADHD,prod,"adhdparentcoaching.dev.umn.edu, adhdparentcoaching.stg.umn.edu","drbarnes, chapm041, perle021, schu3699, kale0040",adhdparentcoaching.umn.edu,MED - Medical School,None,False,,True,Drupal
1339,Bielinsky Lab,prod,"bielinsky.dev.umn.edu, bielinsky.umn.edu",bieli003,bielinsky.umn.edu,MED - Medical School,None,False,,True,Drupal
1222,Biography for Rehab Medicine Department,prod,"bios-rehabmedicine.dev.umn.edu, bios-rehabmedicine.stg.umn.edu",adangol,bios.rehabmedicine.umn.edu,MED - Medical School,None,False,,True,Drupal
1209,Bios for Department of Otolaryngology - Head & Neck Surgery,prod,"bios-ent.dev.umn.edu, bios-ent.stg.umn.edu, bios.ent.umn.edu","adangol, gulli209",bios.ent.umn.edu,MED - Medical School,None,False,,True,Drupal
1230,Bios for Pediatrics Department,prod,"bios-pediatrics.dev.umn.edu, bios-pediatrics.stg.umn.edu",adangol,bios.pediatrics.umn.edu,MED - Medical School,None,False,,True,Drupal
1214,bios.pathology.umn.edu,prod,"bios-pathology.dev.umn.edu, bios-pathology.stg.umn.edu","adangol, hoffm003",bios.pathology.umn.edu,MED - Medical School,None,False,,True,Drupal
1171,Blood and Marrow Transplantation & Cellular Therapy Rare Disease Programs,prod,"rare.dev.umn.edu, rare.stg.umn.edu","buczy003, pedsweb, jutila, adangol",rare.umn.edu,MED - Medical School,None,False,,True,Drupal
1291,bohjanen_lab,prod,"bohjanenlab.dev.umn.edu, bohjanenlab.stg.umn.edu, bohjanenlab.dl9.umn.edu","tim, bohja001",bohjanenlab.umn.edu,MED - Medical School,None,False,,True,Drupal
1262,Brachytherapy Research Group,prod,"brachytherapy.stg.umn.edu, brachytherapy.dev.umn.edu",comis010,brachytherapy.umn.edu,MED - Medical School,None,False,,True,Drupal
