id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
2082,,,,,cablab.umn.edu,MED - Medical School,None,,,True,Google Sites
2083,,,,,walchecklab.umn.edu,MED - Medical School,None,,,True,Google Sites
2084,,,,,epigenetics-consortium.umn.edu,MED - Medical School,None,,,True,Google Sites
2085,,,,,halbergchronobiologycenter.umn.edu,MED - Medical School,None,,,True,Google Sites
2086,,,,,hamiltonhartlab.umn.edu,MED - Medical School,None,,,True,Google Sites
2087,,,,,isg.umn.edu,MED - Medical School,None,,,True,Google Sites
2088,,,,,mapl.umn.edu,MED - Medical School,None,,,True,Google Sites
2089,,,,,memory-trauma-rights.umn.edu,MED - Medical School,None,,,True,Google Sites
2090,,,,,nerstudy.umn.edu,MED - Medical School,None,,,True,Google Sites
2091,,,,,neuromodulation.umn.edu,MED - Medical School,None,,,True,Google Sites
2092,,,,,probationhealth.umn.edu,MED - Medical School,None,,,True,Google Sites
2093,,,,,radpn.umn.edu,MED - Medical School,None,,,True,Google Sites
2094,,,,,skullbase.umn.edu,MED - Medical School,None,,,True,Google Sites
2095,,,,,the-danni-li-lab.umn.edu,MED - Medical School,None,,,True,Google Sites
2096,,,,,venteicherlab.umn.edu,MED - Medical School,None,,,True,Google Sites
2097,,,,,movementdisorderslab.umn.edu,MED - Medical School,None,,,True,Google Sites
2098,,,,,blythelab.umn.edu,MED - Medical School,None,,,True,Google Sites
2099,,,,,baughnlab.umn.edu,MED - Medical School,None,,,True,Google Sites
2103,,,,medpeds@umn.edu,medpedshub.umn.edu,MED - Medical School,None,,,True,Google Sites
