id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
1404,Americans with Disabilities Act at the U of M,prod,"ada.dev.umn.edu, ada.stg.umn.edu",lisamars,ada.umn.edu,OED - Office for Equity & Diversity,None,False,,True,Drupal
1424,Circle of Indigenous Nations,"dev, test, prod","coin.dev.umn.edu, coin.stg.umn.edu","lisamars, incex011, raul, angus025, dougl361, dougl330",coin.umn.edu,OED - Office for Equity & Diversity,None,False,,True,Drupal
1419,Diversity Community of Practice,"dev, test, prod","dcop.stg.umn.edu, dcop.dev.umn.edu, dcop.dl8.umn.edu","lisamars, angus025, dougl361, dougl330",dcop.umn.edu,OED - Office for Equity & Diversity,None,False,,True,Drupal
1410,"Diversity, Equity, and Inclusion Campus Climate Survey",prod,"youru.dev.umn.edu, youru.stg.umn.edu",lisamars,youru.umn.edu,OED - Office for Equity & Diversity,None,False,,True,Drupal
1423,Equal Opportunity and Affirmative Action,"dev, test, prod","eoaa.stg.umn.edu, eoaa.dev.umn.edu, eoaa.dl8.umn.edu, eot.umn.edu, eoaa.umn.edu","lisamars, incex011, angus025, dougl361, dougl330",eoaa.umn.edu,OED - Office for Equity & Diversity,None,False,,True,Drupal
1422,Gender and Sexuality Center for Queer and Trans Life,"dev, test, prod","gsc.stg.umn.edu, gsc.dev.umn.edu, gsc.dl8.umn.edu","lisamars, incex011, angus025, dougl361, dougl330",gsc.umn.edu,OED - Office for Equity & Diversity,None,False,,True,Drupal
1040,Get to Know the ICU,"test, prod","icu.stg.umn.edu, icu.dev.umn.edu, icu.dl9.umn.edu, icu.drc.umn.edu",petr0181,icu.umn.edu,OED - Office for Equity & Diversity,Moved from DRC - Disability Resource Center on 2025-05-15,False,,True,Drupal
1409,inclusiveu,prod,"inclusiveu.dev.umn.edu, inclusiveu.stg.umn.edu, inclusivecourse.umn.edu, inclusiveu.umn.edu",lisamars,inclusiveu.umn.edu,OED - Office for Equity & Diversity,None,False,,True,Drupal
1418,"Institute for Diversity, Equity and Advocacy","dev, test, prod","idea.stg.umn.edu, idea.dev.umn.edu, idea.dl8.umn.edu","jaaf0004, lisamars, angus025, dougl361, dougl330",idea.umn.edu,OED - Office for Equity & Diversity,None,False,,True,Drupal
1413,Keeping Our Faculty Symposium,"test, prod","kof.stg.umn.edu, kof.dev.umn.edu, kof.dl9.umn.edu",lisamars,kof.umn.edu,OED - Office for Equity & Diversity,None,False,,True,Drupal
1411,Latino/a/x Faculty and Staff Association,prod,"lfsa.dev.umn.edu, lfsa.stg.umn.edu, lfsa.dl9.umn.edu, www.lfsa.umn.edu","uehar003, hern0510, lisamars, migue026",lfsa.umn.edu,OED - Office for Equity & Diversity,None,False,,True,Drupal
1421,MCAE,"dev, test, prod","mcae.stg.umn.edu, mcae.dev.umn.edu, mcae.dl8.umn.edu","lisamars, incex011, angus025, dougl361, dougl330",mcae.umn.edu,OED - Office for Equity & Diversity,None,False,,True,Drupal
1403,ocr,"dev, test, prod","www.ocr.umn.edu, ocr.stg.umn.edu, ocr.dev.umn.edu, ocr.dl8.umn.edu","lisamars, angus025, dougl361, dougl330",ocr.umn.edu,OED - Office for Equity & Diversity,Moved from OCR - Office of Conflict Resolution on 2025-05-15,False,,True,Drupal
1427,oedsandbox.dl8.umn.edu,prod,"oedsandbox.dev.umn.edu, oedsandbox.stg.umn.edu","lisamars, fuchs142, angus025, dougl361, dougl330",oedsandbox.dl8.umn.edu,OED - Office for Equity & Diversity,None,False,,True,Drupal
1407,Office for Equity & Diversity Education Program,prod,"oeded.dev.umn.edu, oeded.stg.umn.edu","halbm006, oeded, lisamars",oeded.umn.edu,OED - Office for Equity & Diversity,None,False,,True,Drupal
1426,Office for Equity and Diversity,"dev, test, prod","diversity.dl8.umn.edu, diversity.dev.umn.edu, diversity.stg.umn.edu, campusclimate.umn.edu, campus-climate.umn.edu","lisamars, tmikk, marsh058, angus025, dougl361, dougl330",diversity.umn.edu,OED - Office for Equity & Diversity,None,False,,True,Drupal
1414,Office for Supplier Diversity,"dev, test, prod","bced.dev.umn.edu, bced.stg.umn.edu, bced.prd.umn.edu, osd.umn.edu, bced.umn.edu","lisamars, broek023, fuchs142, incex011, nuebl001, angus025, dougl361, dougl330, marks265",osd.umn.edu,OED - Office for Equity & Diversity,None,False,,True,Drupal
1417,President's Postdoctoral Fellowship Program,"dev, test, prod","ppfp.stg.umn.edu, ppfp.dev.umn.edu, ppfp.dl8.umn.edu","lisamars, angus025, dougl361, dougl330",ppfp.umn.edu,OED - Office for Equity & Diversity,None,False,,True,Drupal
1408,Sexual Misconduct Prevention Program,prod,"smpp.dev.umn.edu, smpp.stg.umn.edu",lisamars,smpp.umn.edu,OED - Office for Equity & Diversity,None,False,,True,Drupal
1420,The Women's Center,"dev, test, prod","womenscenter.stg.umn.edu, womenscenter.dev.umn.edu, womenscenter.dl8.umn.edu","lisamars, incex011, angus025, dougl361, dougl330",womenscenter.umn.edu,OED - Office for Equity & Diversity,None,False,,True,Drupal
1406,"Website for Black Faculty and Staff Association, sponsored by the Office for Equity and Diversity",prod,"bfsa.dev.umn.edu, bfsa.stg.umn.edu",lisamars,bfsa.umn.edu,OED - Office for Equity & Diversity,None,False,,True,Drupal
