id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
1510,Accessible U,"dev, test, prod","accessibility-d8.dev.umn.edu, accessibility-d8.stg.umn.edu, accessibility.umn.edu, www.accessibility.umn.edu, accessibleu.umn.edu, accessu.umn.edu, oda.umn.edu",c-good,accessibility.umn.edu,OIT - Office of Information Technology,None,True,,True,Drupal
1488,Atlas,"dev, test, prod","atlas.dev.umn.edu, atlas.stg.umn.edu, atlas.umn.edu","c-good, devel016, mamiller, nelse007",atlas.umn.edu,OIT - Office of Information Technology,None,True,,True,Drupal
1483,aumnd906.umn.edu,"dev, test, prod","umnd906.stg.umn.edu, umnd906.dev.umn.edu, umnd906.dl9.umn.edu, umnd906.umn.edu","starr027, amara060, rimbu002",aumnd906.umn.edu,OIT - Office of Information Technology,None,True,,True,Drupal
1459,Ben Helle Drupal Sandbox,"dev, test, prod","bhsandbox.dev.umn.edu, bhsandbox.stg.umn.edu",benhelle,bhsandbox.umn.edu,OIT - Office of Information Technology,None,True,,True,Drupal
1452,Chamil's test site,prod,chamil-test.umn.edu,amara060,chamil-test.umn.edu,OIT - Office of Information Technology,None,True,,True,Drupal
1498,D9 Test Site 1,"dev, test, prod","oit-d9-01.dev.umn.edu, oit-d9-01.stg.umn.edu",starr027,oit-d9-01.umn.edu,OIT - Office of Information Technology,None,True,,True,Drupal
1448,DL9 Training,prod,"dl9training.dev.umn.edu, dl9training.stg.umn.edu, dl9training.umn.edu",nelse007,dl9training.umn.edu,OIT - Office of Information Technology,None,True,,True,Drupal
1460,Drupal Management Site,"oittst, dev, test, prod","drupalmanagement.prd.umn.edu, drupalmanagement.dev.umn.edu, drupalmanagement.stg.umn.edu, drupalmanagement.umn.edu, dm.umn.edu","rimbu002, starr027, amara060, djk, kjk",drupalmanagement.umn.edu,OIT - Office of Information Technology,None,True,,True,Drupal
1512,IT@UMN Drupal 8,"dev, test, prod","itumn.dev.umn.edu, it.umn.edu, www.it.umn.edu, wifi.umn.edu, apps-to-go.umn.edu, apps2go.umn.edu, appstogo.umn.edu, desktop-to-go.umn.edu, desktop2go.umn.edu, www.uminnesota.umn.edu, archive.moodle.umn.edu, www.archive.moodle.umn.edu, it-d8.prd.umn.edu, desktoptogo.umn.edu, itumn.stg.umn.edu, teach-online.umn.edu, teaching-online.umn.edu, download.software.umn.edu, www.download.software.umn.edu, computerlabs.umn.edu, www.computerlabs.umn.edu, umconnect.umn.edu, linkedin-learning.umn.edu, lynda.umn.edu, www.lynda.umn.edu, mediahub.umn.edu, hardwarepurchasing.umn.edu, www.hardwarepurchasing.umn.edu, chat.it.umn.edu, ai.umn.edu","c-good, devel016, mamiller, nelse007, rjkos",itumn.umn.edu,OIT - Office of Information Technology,None,True,,True,Drupal
1484,Jacquie's Test Site,"dev, test, prod","jc-sandbox.dev.umn.edu, jc-sandbox.stg.umn.edu, jc-samplesite.umn.edu, jc-907edge.umn.edu, www.jc-907-cname.umn.edu, jc-907-arecord.umn.edu","corri129, todd0186",jc-sandbox.umn.edu,OIT - Office of Information Technology,None,True,,True,Drupal
1468,Jake's Test Site,"dev, test, prod","jaketest.dev.umn.edu, jaketest.stg.umn.edu, jaketestalias.umn.edu",gagnon,jaketest.umn.edu,OIT - Office of Information Technology,None,True,,True,Drupal
1453,Jon's Sandbox Site,prod,"jb-sandbox.dev.umn.edu, jb-sandbox.stg.umn.edu",belle103,jb-sandbox.umn.edu,OIT - Office of Information Technology,None,True,,True,Drupal
1514,KJK - Drupal 8 Lite Test,"dev, test, prod","kjk.dl8.umn.edu, kjk.dev.umn.edu, kjk.stg.umn.edu","kjk, drupa001, ucm",kjk.umn.edu,OIT - Office of Information Technology,None,True,,True,Drupal
1501,T2 WSH DL9 Sandbox,"dev, test, prod","t2vcsh-dl8.dev.umn.edu, t2vcsh-dl8.stg.umn.edu, t2vcsh.umn.edu, t2wsh.dl8.umn.edu, t2vcsh.dl8.umn.edu","kjk, corri129",t2wsh.umn.edu,OIT - Office of Information Technology,None,True,,True,Drupal
1513,UMN D8 03 Test site,"dev, test, prod","umnd803.dev.umn.edu, umnd803.stg.umn.edu, umnd803.umn.edu",starr027,umnd803.umn.edu,OIT - Office of Information Technology,None,True,,True,Drupal
1490,UMND903 Test site,"dev, test, prod","umnd903.dev.umn.edu, umnd903.stg.umn.edu, umnd903.umn.edu",starr027,aaumnd903.umn.edu,OIT - Office of Information Technology,None,True,,True,Drupal
1485,UMND905 test site,"dev, test, prod","umnd905.umn.edu, umnd905.stg.umn.edu, umnd905.dev.umn.edu","starr027, rimbu002, amara060, djk",aumnd905.umn.edu,OIT - Office of Information Technology,None,True,,True,Drupal
1471,visual regression testing,"oittst, dev, test, prod","reg-test.oittst.umn.edu, reg-test.dev.umn.edu, reg-test.stg.umn.edu, reg-test.umn.edu",,reg-test.umn.edu,OIT - Office of Information Technology,None,True,,True,Drupal
1509,wit.umn.edu,"dev, test, prod","wit.dl8.umn.edu, wit.umn.edu, wit-dl8.stg.umn.edu",wit-comm,wit.umn.edu,OIT - Office of Information Technology,None,True,,True,Drupal
