id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
1530,Behavioral Consultation Team,"dev, test, prod","bct.dl9.umn.edu, bct.stg.umn.edu, bct.dev.umn.edu","sarahgd, osacare, omodt017",bct.umn.edu,OSA - Office of Student Affairs,None,False,,True,Drupal
1525,carepackages.umn.edu,"dev, test, prod","carepackages-d9.dev.umn.edu, carepackages-d9.stg.umn.edu",fonta056,carepackages.umn.edu,OSA - Office of Student Affairs,None,False,,True,Drupal
1539,goldpass.umn.edu,"test, prod","goldpass.dl8.umn.edu, goldpass.dev.umn.edu, goldpass.stg.umn.edu, www.goldpass.umn.edu, goldpass.oit.umn.edu, handshake.umn.edu, goldpass.umn.edu, www.handshake.umn.edu","jhoarn, rahrah",goldpass.umn.edu,OSA - Office of Student Affairs,None,False,,True,Drupal
1656,Mock Trial,"test, prod","mocktrial.dl8.umn.edu, mocktrial.stg.umn.edu",mtrial,mocktrial.umn.edu,OSA - Office of Student Affairs,Moved from SUA - CLP - Campus Life Program (Student Org) on 2025-05-15,False,,True,Drupal
1660,Office for Student Affairs Care Manager,"dev, test, prod","care.stg.umn.edu, care.dev.umn.edu, care.dl9.umn.edu, caremanager.umn.edu","fonta056, leibfrie",care.umn.edu,OSA - Office of Student Affairs,Moved from SUA - Student Unions & Activities on 2025-05-15,False,,True,Drupal
1532,Ski-U-Crew,"dev, test, prod","skiucrew.stg.umn.edu, skiucrew.dev.umn.edu, skiucrew.dl9.umn.edu","fonta056, leibfrie",skiucrew.umn.edu,OSA - Office of Student Affairs,None,False,,True,Drupal
1520,SUA History,"dev, test, prod","sua-history.dev.umn.edu, sua-history.stg.umn.edu, sua-history.umn.edu",fonta056,sua-history.umn.edu,OSA - Office of Student Affairs,None,False,,True,Drupal
1524,SUA Student Site,"dev, test, prod","student-sua.dev.umn.edu, student-sua.stg.umn.edu",leibfrie,student.sua.umn.edu,OSA - Office of Student Affairs,None,False,,True,Drupal
1663,Training Site,prod,jody.umn.edu,mahaf001,jody.umn.edu,OSA - Office of Student Affairs,Moved from SUA - Student Unions & Activities on 2025-05-15,False,,True,Drupal
1659,University of Minnesota Army ROTC,"test, prod","arotc.stg.umn.edu, arotc.dev.umn.edu, arotc.dl9.umn.edu","frenc268, adejesus",arotc.umn.edu,OSA - Office of Student Affairs,Moved from SUA - Student Unions & Activities on 2025-05-15,False,,True,Drupal
1654,University of Minnesota Club Tennis Team,"test, prod","www.tenniscb.umn.edu, tennisclub.stg.umn.edu, tennisclub.dev.umn.edu, tennisclub.dl9.umn.edu","catta008, tenniscb",tennisclub.umn.edu,OSA - Office of Student Affairs,Moved from SUA - CLP - Campus Life Program (Student Org) on 2025-05-15,False,,True,Drupal
1655,University of Minnesota Nordic Ski Team,"dev, test, prod","nordic.stg.umn.edu, nordic.dev.umn.edu, nordic.dl9.umn.edu","slett151, nordic",nordic.umn.edu,OSA - Office of Student Affairs,Moved from SUA - CLP - Campus Life Program (Student Org) on 2025-05-15,False,,True,Drupal
