id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
1537,aurora,"test, prod","aurora.stg.umn.edu, aurora.dev.umn.edu, aurora.dl8.umn.edu","leibfrie, vran0020, fonta056",aurora.umn.edu,OSA - Office of Student Affairs,None,True,,True,Drupal
1522,Campus Elections,prod,"campuselections.dev.umn.edu, campuselections.stg.umn.edu, acec.umn.edu",fonta056,campuselections.umn.edu,OSA - Office of Student Affairs,None,True,,True,Drupal
1527,Fraternity and Sorority Life,"dev, test, prod","fsl.dev.umn.edu, fsl.stg.umn.edu, fsl.dl9.umn.edu","fonta056, eoswalt",fsl.umn.edu,OSA - Office of Student Affairs,None,True,,True,Drupal
1523,Homecoming,"dev, test, prod","homecoming.umn.edu, homecoming.dev.umn.edu, homecoming.stg.umn.edu, homecoming.prd.umn.edu",fonta056,homecoming.umn.edu,OSA - Office of Student Affairs,None,True,,True,Drupal
1529,Multicultural Student Engagement,"dev, prod","mcse.dev.umn.edu, mcse.stg.umn.edu, mcse.umn.edu","leibfrie, fonta056",mcse.umn.edu,OSA - Office of Student Affairs,None,True,,True,Drupal
1526,Off Campus Living,"dev, test, prod","ocl.dev.umn.edu, ocl.stg.umn.edu",fonta056,ocl.umn.edu,OSA - Office of Student Affairs,None,True,,True,Drupal
1536,Office of Student Affairs,"dev, test, prod","www.osa.umn.edu, osa.stg.umn.edu, osa.dev.umn.edu, osa.dl9.umn.edu, www.engage.umn.edu, engage.umn.edu","fonta056, leibfrie",osa.umn.edu,OSA - Office of Student Affairs,None,True,,True,Drupal
1661,Outdoor Space,"dev, test, prod","outdoor.dev.umn.edu, outdoor.stg.umn.edu, www.outdoor.umn.edu","fonta056, leibfrie",outdoor.umn.edu,OSA - Office of Student Affairs,Moved from SUA - Student Unions & Activities on 2025-05-15,True,,True,Drupal
1533,Parent & Family Program,"dev, test, prod","parent.stg.umn.edu, parent.dev.umn.edu, parent.dl9.umn.edu, www.parent.umn.edu, family.umn.edu, parent.umn.edu","fonta056, leibfrie",parent.umn.edu,OSA - Office of Student Affairs,None,True,,True,Drupal
1528,President's Student Leadership & Student Award,"dev, test, prod","pslsa-d9.dev.umn.edu, pslsa-d9.stg.umn.edu",fonta056,pslsa.umn.edu,OSA - Office of Student Affairs,None,True,,True,Drupal
1538,Radio K,"dev, test, prod","radiok.dev.umn.edu, radiok.stg.umn.edu, radiok-pci.dev.umn.edu, radiok.umn.edu, radiok.prd.umn.edu, wheremusicmattersmost.com, wheremusicmattersmost.org, realcollegeradio.com, realcollegeradio.org, www.radiok.org, radiok.com, www.radiok.umn.edu, radiok.org","mille648, birle003, santa195, derse008, fonta056",radiok.org,OSA - Office of Student Affairs,None,True,,True,Drupal
1662,Spring Jam,"dev, test, prod","springjam.dev.umn.edu, springjam.stg.umn.edu","fonta056, leibfrie",springjam.umn.edu,OSA - Office of Student Affairs,Moved from SUA - Student Unions & Activities on 2025-05-15,True,,True,Drupal
1648,Student Advocate Services,"dev, test, prod","studentadvocate.stg.umn.edu, studentadvocate.dev.umn.edu, studentadvocate.dl9.umn.edu","fryxx074, fonta056, leibfrie",studentadvocate.umn.edu,OSA - Office of Student Affairs,Moved from Student Conflict Resolution (10117) on 2025-05-15,True,,True,Drupal
1647,Student Conflict Resolution Center,"dev, test, prod","www.sos.umn.edu, sos.stg.umn.edu, sos.dev.umn.edu, sos.dl9.umn.edu","fonta056, leibfrie",sos.umn.edu,OSA - Office of Student Affairs,Moved from Student Conflict Resolution (10117) on 2025-05-15,True,,True,Drupal
1540,Student Counseling Service,"dev, test, prod","counseling.dl8.umn.edu, counseling.umn.edu, counseling.stg.umn.edu, counseling.dev.umn.edu","fonta056, leibfrie",counseling.umn.edu,OSA - Office of Student Affairs,None,True,,True,Drupal
1535,Student Parent Help Center,"dev, test, prod","www.sphc.umn.edu, sphc.stg.umn.edu, sphc.dev.umn.edu, sphc.dl9.umn.edu","leibfrie, fonta056",sphc.umn.edu,OSA - Office of Student Affairs,None,True,,True,Drupal
1534,Student Services Fees,"dev, test, prod","ssf.stg.umn.edu, ssf.dev.umn.edu, ssf.dl9.umn.edu","proyk001, fonta056, leibfrie",ssf.umn.edu,OSA - Office of Student Affairs,None,True,,True,Drupal
1521,Student Unions and Activities,"dev, test, prod","sua.dev.umn.edu, sua.stg.umn.edu, sua.prd.umn.edu, sua.umn.edu","fonta056, zabe0080, kuzni003, obri0757",sua.umn.edu,OSA - Office of Student Affairs,None,True,,True,Drupal
1658,SUA Event Services,"dev, test, prod","reservesua.dev.umn.edu, reservesua.stg.umn.edu, reservesua.prd.umn.edu",fonta056,reservesua.umn.edu,OSA - Office of Student Affairs,Moved from SUA - Student Unions & Activities on 2025-05-15,True,,True,Drupal
1122,Undergraduate Leadership Minor,"dev, test, prod","lead.dev.umn.edu, lead.stg.umn.edu, lead.umn.edu, www.lead.umn.edu","leibfrie, fonta056",lead.umn.edu,OSA - Office of Student Affairs,Moved from Lead-Up on 2025-05-15,True,,True,Drupal
1531,University Student Legal Service,"dev, test, prod","sls.stg.umn.edu, sls.dev.umn.edu, sls.dl9.umn.edu, sls.umn.edu","fonta056, leibfrie",sls.umn.edu,OSA - Office of Student Affairs,None,True,,True,Drupal
