id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
1652,Academic Advising,"dev, test, prod","advising.dev.umn.edu, advising.stg.umn.edu, advising.prd.umn.edu, advising.umn.edu","meyer150, lang0925",advising.umn.edu,OUE - Office of Undergraduate Education,Moved from Student Success Undergrad Ed on 2025-05-15,True,,True,Drupal
1653,Academic Success Centers,"dev, prod","success.dev.umn.edu, success.stg.umn.edu, success.umn.edu","meyer150, lang0925, swart113",success.umn.edu,OUE - Office of Undergraduate Education,Moved from Student Success Undergrad Ed on 2025-05-15,True,,True,Drupal
1542,Classroom Management,"dev, test, prod","classroom.dev.umn.edu, classroom.stg.umn.edu, classroom.prd.umn.edu, classroom.umn.edu","eeklund, dlagerro, thoma127, isen0011, simps614, ande7947, clem0234, eberh115, asrweb",classroom.umn.edu,OUE - Office of Undergraduate Education,None,True,,True,Drupal
1543,diploma.umn.edu,"dev, test, prod","diploma.dev.umn.edu, diploma.stg.umn.edu","thoma127, simps614, dlagerro, isen0011, eeklund",diploma.umn.edu,OUE - Office of Undergraduate Education,None,True,,True,Drupal
1650,Effective U,"dev, test, prod","effectiveu.dev.umn.edu, effectiveu.stg.umn.edu, effectiveu.umn.edu, www.effectiveu.umn.edu","meyer150, lang0925",effectiveu.umn.edu,OUE - Office of Undergraduate Education,Moved from Student Success Undergrad Ed on 2025-05-15,True,,True,Drupal
1544,Emerge Summer STEM Program,"dev, test, prod","emerge.dev.umn.edu, emerge.stg.umn.edu, www.emerge.umn.edu","meyer150, lang0925",emerge.umn.edu,OUE - Office of Undergraduate Education,None,True,,True,Drupal
1546,First Gen at the U of M,"dev, test, prod","firstgen.dev.umn.edu, firstgen.stg.umn.edu","meyer150, lang0925",firstgen.umn.edu,OUE - Office of Undergraduate Education,None,True,,True,Drupal
1551,International Student Services Fee,"dev, test, prod","internationalfee.dev.umn.edu, internationalfee.stg.umn.edu","meyer150, lang0925",internationalfee.umn.edu,OUE - Office of Undergraduate Education,None,True,,True,Drupal
1555,Office of Undergraduate Admissions,"dev, test, prod","admissions-tc.dev.umn.edu, admissions-tc.stg.umn.edu, admissions-tc.prd.umn.edu, www.admissions.tc.umn.edu, www.connect.umn.edu","wrightan, wals0214, meyer150, lang0925",admissions.tc.umn.edu,OUE - Office of Undergraduate Education,None,True,,True,Drupal
1554,Office of Undergraduate Education,"dev, test, prod","undergrad.dev.umn.edu, undergrad.stg.umn.edu, undergrad.umn.edu, www.undergrad.umn.edu","meyer150, lang0925",undergrad.umn.edu,OUE - Office of Undergraduate Education,None,True,,True,Drupal
1545,Pre Law Advising,"dev, prod","prelaw.dev.umn.edu, prelaw.stg.umn.edu","meyer150, lang0925",prelaw.umn.edu,OUE - Office of Undergraduate Education,None,True,,True,Drupal
1553,President's Emerging Scholars Program,"dev, prod","prezscholars-d8.dev.umn.edu, prezscholars-d8.stg.umn.edu, pes.umn.edu, www.prezscholars.umn.edu, prezscholars.umn.edu","woberry, meyer150, lang0925",prezscholars.umn.edu,OUE - Office of Undergraduate Education,None,True,,True,Drupal
1548,Success Coaching Program,"dev, test, prod","successcoaching.dev.umn.edu, successcoaching.stg.umn.edu","woberry, meyer150, lang0925",successcoaching.umn.edu,OUE - Office of Undergraduate Education,None,True,,True,Drupal
1556,U of MN Undergrad Admissions Major Key,"dev, test, prod","majors.dev.umn.edu, majors.stg.umn.edu, majors.umn.edu, www.majors.umn.edu","wrightan, admcomm, meyer150, lang0925",majors.umn.edu,OUE - Office of Undergraduate Education,None,True,,True,Drupal
1649,Undergrad Diversity at UMTC,"dev, test, prod","community.dev.umn.edu, community.stg.umn.edu, community.prd.umn.edu","meyer150, lang0925",community.umn.edu,OUE - Office of Undergraduate Education,Moved from Student Success Undergrad Ed on 2025-05-15,True,,True,Drupal
