id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
1568,cdoh.ipums.org,"dev, test, prod","cdoh.ipums.org, cdoh-ipums.dev.umn.edu, cdoh-ipums.stg.umn.edu","goray, amcwhinn, canin, sassc",cdoh.ipums.org,OVPR - Office of Vice President for Research,None,False,,True,Drupal
1591,Center for Allied Health Programs,"dev, test, prod","alliedhealth.stg.umn.edu, alliedhealth.dev.umn.edu, mls.umn.edu, www.alliedhealth-temp.umn.edu","meyer150, engeb013, lang0925",www.alliedhealth-temp.umn.edu,OVPR - Office of Vice President for Research,None,False,,True,Drupal
1594,Center for Health Interprofessional Programs,"dev, test, prod","chip.dev.umn.edu, chip.stg.umn.edu, www.chip.umn.edu","engeb013, meyer150, lang0925",chip.umn.edu,OVPR - Office of Vice President for Research,None,False,,True,Drupal
1580,Center for Medical Device Cybersecurity,"test, prod","cmdc.dev.umn.edu, cmdc.stg.umn.edu",mgustafs,cmdc.umn.edu,OVPR - Office of Vice President for Research,None,False,,True,Drupal
1588,Chinese Flagship,prod,"chineseflagship.dl8.umn.edu, chineseflagship.umn.edu",meyer150,chineseflagship.umn.edu,OVPR - Office of Vice President for Research,None,False,,True,Drupal
1582,Consortium,"dev, test, prod","consortium-d9.dev.umn.edu, consortium-d9.stg.umn.edu, www.consortium.umn.edu, consortium-d9.prd.umn.edu","tvet0004, anderslj, thale, holmq162, hend0054, thom8963",consortium.umn.edu,OVPR - Office of Vice President for Research,None,False,,True,Drupal
1584,COVID Travel Impact Study (CTI Study),prod,"cti.dev.umn.edu, cti.stg.umn.edu",yingling,cti.umn.edu,OVPR - Office of Vice President for Research,None,False,,True,Drupal
1585,Cura D8,"dev, test, prod","cura.dev.umn.edu, cura.stg.umn.edu, cura.prd.umn.edu, cura.umn.edu, www.cura.umn.edu, art.cura.umn.edu, www.art.cura.umn.edu","meyer150, lang0925, swart113",cura.umn.edu,OVPR - Office of Vice President for Research,None,False,,True,Drupal
1569,EdSHARe,"dev, test, prod","edshareproject.dev.umn.edu, edshareproject.stg.umn.edu, edshareproject.org","goray, amcwhinn, canin, sassc",edshareproject.org,OVPR - Office of Vice President for Research,None,False,,True,Drupal
1559,foodscubed.umn.edu,"dev, test, prod","foodscubed.dev.umn.edu, foodscubed.stg.umn.edu","narva024, dicke471, cardi191, netla045, vasqu299",foodscubed.umn.edu,OVPR - Office of Vice President for Research,None,False,,True,Drupal
1562,Fostering Strategic Partnerships Through a Faculty Learning Community,prod,"buildinglearning-communities.dev.umn.edu, buildinglearning-communities.stg.umn.edu",cmbryant,buildinglearning-communities.umn.edu,OVPR - Office of Vice President for Research,None,False,,True,Drupal
1581,Fostering Strategic Partnerships: Building and Broadening Research on African American Families,prod,"build-broaden.dev.umn.edu, build-broaden.stg.umn.edu",nordstro,build.broaden.umn.edu,OVPR - Office of Vice President for Research,None,False,,True,Drupal
