id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
1030,Airport Technical Assistance Program (AirTAP),"dev, test, prod","airtap.stg.umn.edu, airtap.dev.umn.edu, airtap.dl9.umn.edu, www.airtap.umn.edu","santa195, derse008, siqv0001, ande4255",airtap.umn.edu,OVPR - Office of Vice President for Research,Moved from CTS - Center for Transportation Studies on 2025-05-15,True,,True,Drupal
1028,Blowing Snow Control Tools,"dev, test, prod","snowcontroltools.stg.umn.edu, snowcontroltools.dev.umn.edu, snowcontroltools.dl9.umn.edu","siqv0001, ande4255",snowcontroltools.umn.edu,OVPR - Office of Vice President for Research,Moved from CTS - Center for Transportation Studies on 2025-05-15,True,,True,Drupal
1598,Center for Transportation Studies D8 site,"dev, test, prod","cts-d8.dev.umn.edu, cts-d8.stg.umn.edu, cts.prd.umn.edu, www.cts.umn.edu, cts-mnltap.dev.umn.edu, access.umn.edu, ao.umn.edu, mnltap.umn.edu, www.mnltap.umn.edu, www.cts.umn.edu, cts.umn.edu","birle003, ande4255, santa195, derse008, siqv0001",cts.umn.edu,OVPR - Office of Vice President for Research,None,True,,True,Drupal
1571,FV500 Confocal Microscopy,prod,"fv500-confocal-microscopy.dev.umn.edu, fv500-confocal-microscopy.stg.umn.edu","dlv, ford0439",fv500-confocal-microscopy.umn.edu,OVPR - Office of Vice President for Research,None,True,,True,Drupal
1381,Institute for Social Research and Data Innovation,"dev, test, prod","isrdi.dev.umn.edu, isrdi.stg.umn.edu, isrdi.umn.edu, www.isrdi.umn.edu","goray, amcwhinn, canin, sassc",isrdi.umn.edu,OVPR - Office of Vice President for Research,Moved from MPC on 2025-05-15,True,,True,Drupal
1561,International Institute for Biosensing (IIB),"dev, test, prod","iib.dev.umn.edu, iib.stg.umn.edu","sang, parso410, jwilgenb, munde026, shand095",iib.umn.edu,OVPR - Office of Vice President for Research,None,True,,True,Drupal
1383,Minnesota Population Center,"dev, test, prod","pop-d9.dev.umn.edu, pop-d9.stg.umn.edu, www.pop.umn.edu, pop.umn.edu","goray, amcwhinn, canin, sassc",pop.umn.edu,OVPR - Office of Vice President for Research,Moved from MPC on 2025-05-15,True,,True,Drupal
1579,Minnesota Supercomputing Institute,"dev, test, prod","msi.dev.umn.edu, msi.stg.umn.edu, msi.prd.umn.edu, msi.umn.edu, www.msi.umn.edu","jwf, landw020, ddewet, parso410, bert0214, munde026, shand095",msi.umn.edu,OVPR - Office of Vice President for Research,None,True,,True,Drupal
1029,MnCAV Ecosystem,"dev, test, prod","mncav.dev.umn.edu, mncav.stg.umn.edu, mncav.prd.umn.edu","dougl330, dougl361, angus025, santa195, derse008, siqv0001, ande4255",mncav.umn.edu,OVPR - Office of Vice President for Research,Moved from CTS - Center for Transportation Studies on 2025-05-15,True,,True,Drupal
1597,Office for Public Engagement,"dev, test, prod","ope.dev.umn.edu, ope.stg.umn.edu, engagement.umn.edu, www.engagement.umn.edu, engagement.prd.umn.edu","meyer150, lang0925",ope.umn.edu,OVPR - Office of Vice President for Research,None,True,,True,Drupal
1592,Office Of The Associate Vice President For Academic Health Sciences,"dev, test, prod","healthsciedu.dev.umn.edu, healthsciedu.stg.umn.edu, healthsciedu.umn.edu, www.healthsciedu.umn.edu, ahceducation.umn.edu, www.ahceducation.umn.edu","meyer150, engeb013, lang0925",healthsciedu.umn.edu,OVPR - Office of Vice President for Research,None,True,,True,Drupal
1578,OVPR,"dev, test, prod","research.dev.umn.edu, research.stg.umn.edu, research.prd.umn.edu, advance-hsr-alerts.umn.edu, biohub.umn.edu, bioinnovation.umn.edu, biotech.umn.edu, biotechnology.umn.edu, bsl3.umn.edu, certifiedapprover.umn.edu, covid.umn.edu, crad.umn.edu, food.umn.edu, iacuc.umn.edu, www.iacuc.umn.edu, ibc.umn.edu, inquiry.umn.edu, irb.umn.edu, www.irb.umn.edu, mndrive.umn.edu, www.mndrive.umn.edu, nationalsecurity.umn.edu, obao.umn.edu, oca.umn.edu, oris.umn.edu, otc.umn.edu, www.otc.umn.edu, ovpr.umn.edu, www.ovpr.umn.edu, rar.umn.edu, rco.umn.edu, regionaldevelopment.umn.edu, www.research.umn.edu, riact.umn.edu, spa.umn.edu, techcomm.umn.edu, www.techcomm.umn.edu, venturecenter.umn.edu, www.venturecenter.umn.edu, www.licensingcenter.umn.edu, www.ospa.umn.edu, inquiry.research.umn.edu, frontdoor.umn.edu, licensingcenter.umn.edu, ospa.umn.edu, www.ibc.umn.edu, rio.umn.edu, www.rio.umn.edu, research-innovation.umn.edu, researchinnovation.umn.edu, chips.umn.edu, microelectronics.umn.edu, semiconductors.umn.edu, ric.umn.edu, research.umn.edu","hsantiag, flynn563, dicke471, cote0087, stegi010, netla045, bos00010, dart0031, irsfe008, vasqu299",research.umn.edu,OVPR - Office of Vice President for Research,None,True,,True,Drupal
1593,Pre-Health Student Resource Center,"dev, test, prod","healthcareers.stg.umn.edu, healthcareers.dev.umn.edu, www.healthcareers.umn.edu","meyer150, engeb013, lang0925",healthcareers.umn.edu,OVPR - Office of Vice President for Research,None,True,,True,Drupal
1586,Research Computing,"dev, test, prod","rc.dev.umn.edu, rc.stg.umn.edu, researchcomputing.umn.edu, www.researchcomputing.umn.edu, uspatial.umn.edu, www.uspatial.umn.edu, spatial-research.umn.edu, umii.umn.edu","jwf, landw020",rc.umn.edu,OVPR - Office of Vice President for Research,None,True,,True,Drupal
