id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
1637,"10,000 Families Study","dev, test, prod","10kfs.dev.umn.edu, 10kfs.stg.umn.edu, 10kfs.prd.umn.edu, www.tenthousandfamilies.umn.edu, tenthousandfamilies.umn.edu, 10000families.umn.edu, www.10000families.umn.edu, www.10kfs.umn.edu",clemenw,10kfs.umn.edu,SPH - School of Public Health,None,True,,True,Drupal
1626,10kfs,"dev, test, prod","10kfs-d9.dev.umn.edu, 10kfs-d9.stg.umn.edu, 10kfs-d9.prd.umn.edu","clemenw, starr027, rimbu002, amara060, djk",10kfs.umn.edu,SPH - School of Public Health,None,True,,True,Drupal
1628,Alcohol Epidemiology Program,prod,"aep.stg.umn.edu, aep.dev.umn.edu, aep.dl9.umn.edu, www.aep.umn.edu, aep.umn.edu",johns260,aep.umn.edu,SPH - School of Public Health,None,True,,True,Drupal
1631,Center for Antiracism Research for Health Equity,"dev, test, prod","carhe.dev.umn.edu, carhe.stg.umn.edu, www.carhe.umn.edu","billi323, leder075, netti031, silv0159, urban358, cjk",carhe.umn.edu,SPH - School of Public Health,None,True,,True,Drupal
1633,cers.umn.edu,prod,"cers.dev.umn.edu, cers.stg.umn.edu",chux0051,cers.umn.edu,SPH - School of Public Health,None,True,,True,Drupal
1625,Consortium for Workforce Research in Public Health,"dev, test, prod","cworph.dev.umn.edu, cworph.stg.umn.edu, www.cworph.umn.edu","devel016, schulman, laroche, stan0347",cworph.umn.edu,SPH - School of Public Health,None,True,,True,Drupal
1630,Coordinating Centers for Biometric Research,"test, prod","ccbr.stg.umn.edu, ccbr.dev.umn.edu, ccbr.dl9.umn.edu",meger001,ccbr.biostat.umn.edu,SPH - School of Public Health,None,True,,True,Drupal
1624,EpiCH Grant Toolkit,prod,"granttoolkit-epi.dev.umn.edu, granttoolkit-epi.stg.umn.edu","johns260, poque020",granttoolkit.epi.umn.edu,SPH - School of Public Health,None,True,,True,Drupal
1636,Lactation Information,"test, prod","lacspaces.stg.umn.edu, lacspaces.dev.umn.edu, lacspaces.dl8.umn.edu","skeene, mikaela",lacspaces.umn.edu,SPH - School of Public Health,None,True,,True,Drupal
1635,PLUS Consortium,"dev, test, prod","www.plusconsortium.umn.edu, plusconsortium-d9.dev.umn.edu, plusconsortium-d9.stg.umn.edu, plusconsortium-d9.prd.umn.edu","chary, putnams, archi009",plusconsortium.umn.edu,SPH - School of Public Health,None,True,,True,Drupal
1643,ResDAC Data Documentation,"dev, test, prod","resdac.umn.edu, resdac.org, www.resdac.org, resdac-d8.dev.umn.edu, resdac-d8.stg.umn.edu, resdac.dev.umn.edu, resdac.stg.umn.edu, datadocumentation.resdac.org","ostby014, dougl361, angus025",datadocumentation.resdac.org,SPH - School of Public Health,None,True,,True,Drupal
1629,School of Public Health Directory,"dev, test, prod","directory-sph-d9.dev.umn.edu, directory-sph-d9.stg.umn.edu, directory-sph-d9.prd.umn.edu","sphweb, stan0347",directory.sph.umn.edu,SPH - School of Public Health,None,True,,True,Drupal
1638,Seguralab.umn.edu,"dev, test, prod","segurallab.dev.umn.edu, segurallab.stg.umn.edu, seguralab.umn.edu",godin033,segurallab.umn.edu,SPH - School of Public Health,None,True,,True,Drupal
1622,University of Minnesota Hazmat and Hazwoper Training,prod,"hazmat.dev.umn.edu, hazmat.stg.umn.edu, hazmat.prd.umn.edu",archi009,hazmat.umn.edu,SPH - School of Public Health,None,True,,True,Drupal
