id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
1747,About UMD,"dev, test, prod","about-d.dev.umn.edu, about-d.stg.umn.edu, about.d.umn.edu","batchiso, sbradt, amanteuf",about.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1757,Academic Affairs,prod,"evcaa-d.dev.umn.edu, evcaa-d.stg.umn.edu","batchiso, sbradt, amanteuf",evcaa.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1750,academic writing and learning center,prod,"academic-writing-and-learning-center-d.dev.umn.edu, academic-writing-and-learning-center-d.stg.umn.edu, awlc.d.umn.edu, academic-writing-and-learning-center.d.umn.edu","batchiso, sbradt, amanteuf",academic-writing-and-learning-center.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1704,Academics Duluth,"dev, test, prod","academics-d.dev.umn.edu, academics-d.stg.umn.edu, www.academics.d.umn.edu","batchiso, sbradt, amanteuf, dtadege, nels2371, ehunter, ferna692, kristinw, pbhamidi, peake035, matt",academics.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1740,Accessible Academic Technology Team,prod,"aatt-d.dev.umn.edu, aatt-d.stg.umn.edu","batchiso, sbradt, amanteuf",aatt.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1789,Admissions,"dev, prod","admissions-d.dev.umn.edu, admissions-d.stg.umn.edu, admissions-d.prd.umn.edu, admissions.d.umn.edu","batchiso, sbradt, amanteuf, dtadege, nels2371, ehunter, ferna692, kristinw, pbhamidi, peake035, matt",admissions.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1771,Air Force Reserve Officer Training Corps,prod,"afrotc-d.dev.umn.edu, afrotc-d.stg.umn.edu","batchiso, sbradt, amanteuf",afrotc.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1720,alumni relations,prod,"alumni-relations-d.dev.umn.edu, alumni-relations-d.stg.umn.edu, alumni.d.umn.edu","batchiso, sbradt, amanteuf",alumni-relations.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1745,"Assessment, Improvement and Review",prod,"assessment-d.dev.umn.edu, assessment-d.stg.umn.edu","batchiso, sbradt, amanteuf",assessment.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1778,Boulder Lake Environmental Learning Center,prod,"boulderlake.dev.umn.edu, boulderlake.stg.umn.edu, boulderlake.org, www.boulderlake.org","batchiso, sbradt, amanteuf",boulderlake.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1758,Budget & Analysis,prod,"budget-d.dev.umn.edu, budget-d.stg.umn.edu","batchiso, sbradt, amanteuf",budget.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1749,bulldog resource center,prod,"bulldog-resource-center-d.dev.umn.edu, bulldog-resource-center-d.stg.umn.edu","batchiso, sbradt, amanteuf",bulldog-resource-center.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1706,campus-life,"dev, test, prod","campus-life-d.dev.umn.edu, campus-life-d.stg.umn.edu","batchiso, sbradt, amanteuf, dtadege, nels2371, ehunter, ferna692, kristinw, pbhamidi, peake035, matt",campus-life.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1728,campus climate,prod,"campus-climate-d.dev.umn.edu, campus-climate-d.stg.umn.edu","batchiso, sbradt, amanteuf",campus-climate.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1756,Career Center,prod,"career-d.dev.umn.edu, career-d.stg.umn.edu","batchiso, sbradt, amanteuf",career.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1715,Center for Restorative Justice and Peacemaking,prod,"rjp-d.dev.umn.edu, rjp-d.stg.umn.edu, rjp-d.dl8.umn.edu, rjp.umn.edu","batchiso, sbradt, amanteuf",rjp.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1765,chancellor's office,prod,"chancellor-d.dev.umn.edu, chancellor-d.stg.umn.edu","batchiso, sbradt, amanteuf",chancellor.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1719,Collaborative Online International Learning,prod,"coil-d.dev.umn.edu, coil-d.stg.umn.edu","batchiso, sbradt, amanteuf",coil.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1727,college in the schools,prod,"cits-d.dev.umn.edu, cits-d.stg.umn.edu","batchiso, sbradt, amanteuf",cits.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1779,"College of Arts, Humanities, and Social Sciences","dev, test, prod","cla-d-d8.dev.umn.edu, cla-d-d8.stg.umn.edu, cla-d.prd.umn.edu, sfa.d.umn.edu, cahss.d.umn.edu","batchiso, amanteuf, sbradt",cla.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1773,College of Education and Human Service Professions,"dev, test, prod","cehsp-d.dev.umn.edu, cehsp-d.stg.umn.edu, cehsp-d.prd.umn.edu","batchiso, amanteuf, sbradt",cehsp.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1726,Commencement,prod,"commencement-d.dev.umn.edu, commencement-d.stg.umn.edu, commencement.d.umn.edu","batchiso, sbradt, amanteuf",commencement.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1772,Commission on Disabilities,prod,"commission-disabilities-d.dev.umn.edu, commission-disabilities-d.stg.umn.edu","batchiso, sbradt, amanteuf",commission-disabilities.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1775,"Commission on Equity, Race, & Ethnicity",prod,"cere.d.umn.edu, cere-d.dev.umn.edu, cere-d.stg.umn.edu","batchiso, sbradt, amanteuf",cere.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1725,Commission on Women,prod,"cfw-d.dev.umn.edu, cfw-d.stg.umn.edu, cfw.d.umn.edu","batchiso, sbradt, amanteuf",cfw.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1697,Commission QT,prod,"commission-qt-d.dev.umn.edu, commission-qt-d.stg.umn.edu","batchiso, amanteuf",commission-qt.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1759,Controller's office,prod,"controller-d.dev.umn.edu, controller-d.stg.umn.edu","batchiso, sbradt, amanteuf",controller.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1730,Covid Stories,prod,"covidstories-d.dev.umn.edu, covidstories-d.stg.umn.edu","batchiso, sbradt, amanteuf",covidstories.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1754,development office,prod,"give-d.dev.umn.edu, give-d.stg.umn.edu","batchiso, sbradt, amanteuf",give.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1737,dining services,prod,"dining-services-d.dev.umn.edu, dining-services-d.stg.umn.edu","batchiso, sbradt, amanteuf",dining-services.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1735,Disability Resources,prod,"disability-resources-d.dev.umn.edu, disability-resources-d.stg.umn.edu","batchiso, sbradt, amanteuf",disability-resources.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
1705,Emergency,,"emergency-d.dev.umn.edu, emergency-d.stg.umn.edu","batchiso, sbradt, amanteuf",emergency.d.umn.edu,UMD - Duluth,None,True,,True,Drupal
