id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
1800,3m.umn.edu,"dev, test, prod","3m-d9.dev.umn.edu, 3m-d9.stg.umn.edu","cmahan, awojciec, rein0455, auden",3m.umn.edu,UMF - University of MN Foundation,None,True,,True,Drupal
1807,Business Engagement Site,"dev, test, prod","be.dev.umn.edu, be.stg.umn.edu, ie.umn.edu, cec.umn.edu, business.umn.edu, www.business.umn.edu","cmahan, awojciec, rein0455, auden",be.umn.edu,UMF - University of MN Foundation,None,True,,True,Drupal
1795,Couture for Kids,prod,"coutureforkids.dev.umn.edu, coutureforkids.stg.umn.edu",cmahan,coutureforkids.umn.edu,UMF - University of MN Foundation,None,True,,True,Drupal
1806,Diamond Awards,"test, prod","diamondawards.dl8.umn.edu, diamondawards.dev.umn.edu, diamondawards.stg.umn.edu","cmahan, pet00503, awojciec, rein0455, auden",diamondawards.umn.edu,UMF - University of MN Foundation,None,True,,True,Drupal
1811,Discovery Showcase,"dev, test, prod","discoveryshowcase-dl8.dev.umn.edu, discoveryshowcase-dl8.stg.umn.edu, discoveryshowcase.prd.umn.edu","cmahan, pet00503, awojciec, rein0455, auden",discoveryshowcase.umn.edu,UMF - University of MN Foundation,None,True,,True,Drupal
1809,Fashion Fest,"dev, test, prod","fashionfest-dl8.dev.umn.edu, fashionfest-dl8.stg.umn.edu, fashionfest.dl9.umn.edu","cmahan, pet00503, awojciec, rein0455, auden",fashionfest.umn.edu,UMF - University of MN Foundation,None,True,,True,Drupal
1805,Giving Day,"dev, test, prod","givingday.dev.umn.edu, givingday.stg.umn.edu, www.givingday.umn.edu","cmahan, awojciec, rein0455, auden",givingday.umn.edu,UMF - University of MN Foundation,None,True,,True,Drupal
1794,Immersive Med,prod,"immersivemed.umn.edu, immersivemed.dev.umn.edu, immersivemed.stg.umn.edu",cmahan,immersivemed.umn.edu,UMF - University of MN Foundation,None,True,,True,Drupal
1799,Innovation With Impact (New),prod,"innovationwithimpact.dev.umn.edu, innovationwithimpact.stg.umn.edu, iwi.umn.edu","cmahan, rein0455, auden",innovationwithimpact.umn.edu,UMF - University of MN Foundation,None,True,,True,Drupal
1813,pcroster-d8,"dev, test, prod","pcroster-d8.stg.umn.edu, pcroster-d8.dev.umn.edu, www.pcroster.umn.edu","cmahan, awojciec, rein0455, auden",pcroster.umn.edu,UMF - University of MN Foundation,None,True,,True,Drupal
1804,Red Heart Soiree,prod,"redheartsoiree.dev.umn.edu, redheartsoiree.stg.umn.edu, redheartsoiree.dl9.umn.edu","pet00503, cmahan, awojciec, rein0455, auden",redheartsoiree.umn.edu,UMF - University of MN Foundation,None,True,,True,Drupal
1803,Southdale Gala,"test, prod","southdalefoc.dev.umn.edu, southdalefoc.stg.umn.edu, southdale.umn.edu, southdalefoc.umn.edu, southdalecelebration.umn.edu","pet00503, cmahan, awojciec, rein0455, auden",southdalefoc.umn.edu,UMF - University of MN Foundation,None,True,,True,Drupal
1796,themix.umn.edu,"dev, test, prod","themixmn.dev.umn.edu, themixmn.stg.umn.edu, themixmn.prd.umn.edu, www.themixmn.com, themixmn.com",cmahan,themixmn.com,UMF - University of MN Foundation,None,True,,True,Drupal
1814,UMF Grants,"dev, test, prod","umfgrants.dev.umn.edu, umfgrants.stg.umn.edu, umfgrants.umn.edu","cmahan, awojciec, rein0455, auden",umfgrants.umn.edu,UMF - University of MN Foundation,None,True,,True,Drupal
1797,UMFREA (new),"dev, test, prod","umfrea.dev.umn.edu, umfrea.stg.umn.edu, umfrea.org","cmahan, awojciec, rein0455, auden",umfrea.umn.edu,UMF - University of MN Foundation,None,True,,True,Drupal
1802,WineFest,prod,"winefest.dev.umn.edu, winefest.stg.umn.edu, winefest.dl9.umn.edu","cmahan, pet00503, awojciec, rein0455, auden",winefest.umn.edu,UMF - University of MN Foundation,None,True,,True,Drupal
