id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
1830,Benefits Advisory Committee,"test, prod","bac.stg.umn.edu, bac.dev.umn.edu, bac.dl9.umn.edu","berichse, senate, kwap0003",bac.umn.edu,UR - University Relations (URel),Moved from University Senate on 2025-05-15,False,,True,Drupal
1876,bias-response-d8,"dev, test, prod","bias-response.dev.umn.edu, bias-response.stg.umn.edu, bias-response.umn.edu, www.bias-response.umn.edu, bias-response-d8.prd.umn.edu, biasresponse.umn.edu, www.biasresponse.umn.edu","dtadege, urweb, nels2371, hinte019, ehunter, ferna692, kristinw, pbhamidi, peake035, matt, batchiso",bias-response.umn.edu,UR - University Relations (URel),None,False,,True,Drupal
1864,Drupal Advisory Board,"test, prod","drupal-advisory.umn.edu, drupaladvisory.dev.umn.edu, drupaladvisory.stg.umn.edu","dtadege, sfroehli, nels2371, hinte019, ehunter, ferna692, kristinw, pbhamidi, peake035, matt, batchiso",drupaladvisory.umn.edu,UR - University Relations (URel),None,False,,True,Drupal
1868,MC User Group,prod,"mc-user-group.dl8.umn.edu, mc-user-group.umn.edu, mc-user-group.dl.umn.edu",peck0081,mc-user-group.umn.edu,UR - University Relations (URel),None,False,,True,Drupal
1848,NXT GEN AG,prod,"nxtgenag.dev.umn.edu, nxtgenag.stg.umn.edu, rural-leadership.umn.edu",albailey,nxtgenag.umn.edu,UR - University Relations (URel),None,False,,True,Drupal
1862,Online Privacy,prod,"privacy.dev.umn.edu, privacy.stg.umn.edu, privacy.dl8.umn.edu, privacy.umn.edu, www.privacy.umn.edu","dtadege, sfroehli, nels2371, hinte019, ehunter, ferna692, kristinw, pbhamidi, peake035, matt, batchiso",privacy.umn.edu,UR - University Relations (URel),None,False,,True,Drupal
1871,president.umn.edu,"dev, test, prod","president-d8.dev.umn.edu, president-d8.stg.umn.edu, president.prd.umn.edu, president.umn.edu, www.president.umn.edu, system-strategic-plan.umn.edu, strategic-planning.umn.edu, president-transition.umn.edu, www.president-transition.umn.edu","nels2371, dtadege, hinte019, ehunter, ferna692, kristinw, pbhamidi, peake035, matt, batchiso",president.umn.edu,UR - University Relations (URel),None,False,,True,Drupal
1845,Presidential Search,"urtst, dev, test, prod","interim-pres-search.stg.umn.edu, interim-pres-search.dev.umn.edu, www.interim-pres-search.umn.edu","dtadege, ehunter, ferna692, kristinw, pbhamidi, peake035, matt, batchiso",interim-pres-search.umn.edu,UR - University Relations (URel),None,False,,True,Drupal
1831,SSMS Training,"test, prod","intranet-ssms.stg.umn.edu, intranet-ssms.dev.umn.edu, intranet-ssms.dl9.umn.edu",berichse,intranet-ssms.umn.edu,UR - University Relations (URel),Moved from University Senate on 2025-05-15,False,,True,Drupal
1833,University Awards & Honors,"dev, test, prod","uawards.stg.umn.edu, uawards.dev.umn.edu, uawards.dl9.umn.edu","courtney, senate, pool0117, abathke",uawards.umn.edu,UR - University Relations (URel),Moved from University Senate on 2025-05-15,False,,True,Drupal
1832,University Senate,"dev, test, prod","www.usenate.umn.edu, usenate.stg.umn.edu, usenate.dev.umn.edu, usenate.dl9.umn.edu","berichse, abathke, pool0117",usenate.umn.edu,UR - University Relations (URel),Moved from University Senate on 2025-05-15,False,,True,Drupal
1839,Vice President for Communications Search,"dev, test, prod","vp-communications-search.dev.umn.edu, vp-communications-search.stg.umn.edu",dtadege,vp-communications-search.umn.edu,UR - University Relations (URel),None,False,,True,Drupal
1834,Vice President for Strategic Initiatives Search,"dev, test, prod","vp-strategic-initiatives-search.umn.edu, vp-strategic-initiatives-search.dev.umn.edu, vp-strategic-initiatives-search.stg.umn.edu",dtadege,vp-strategic-initiatives-search.umn.edu,UR - University Relations (URel),None,False,,True,Drupal
