id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
1870,Board of Regents,"dev, test, prod","regents-d8.dev.umn.edu, regents-d8.stg.umn.edu, regents.prd.umn.edu, regents.umn.edu, www.regents.umn.edu, interim-pres-search.umn.edu, www.interim-pres-search.umn.edu","dtadege, nels2371, hinte019, ehunter, ferna692, kristinw, pbhamidi, peake035, matt, batchiso",regents.umn.edu,UR - University Relations (URel),None,True,,True,Drupal
1860,Brief.umn.edu,"dev, test, prod","brief-d8.dev.umn.edu, brief-d8.stg.umn.edu, brief.umn.edu, www.brief.umn.edu","dtadege, nels2371, hinte019, ehunter, ferna692, kristinw, pbhamidi, peake035, matt, batchiso",brief.umn.edu,UR - University Relations (URel),None,True,,True,Drupal
1869,Center for Animal Health and Food Safety,"dev, test, prod","cahfs-d8.dev.umn.edu, cahfs-d8.stg.umn.edu, cahfs.umn.edu, cahfs.prd.umn.edu, www.cahfs.umn.edu, foodpolicy.umn.edu, www.foodpolicy.umn.edu","keauxier, sfroehli, nels2371, dtadege, hinte019, ehunter, ferna692, kristinw, pbhamidi, peake035, matt, batchiso",cahfs.umn.edu,UR - University Relations (URel),None,True,,True,Drupal
1865,CENTER FOR DRUG DESIGN,"dev, test, prod","drugdesign-d8.dev.umn.edu, drugdesign-d8.stg.umn.edu, www.drugdesign.umn.edu","dtadege, nels2371, hinte019, ehunter, ferna692, kristinw, pbhamidi, peake035, matt, batchiso",drugdesign.umn.edu,UR - University Relations (URel),None,True,,True,Drupal
1850,dentalclinics.umn.edu,"dev, test, prod","dental-clinics-d9.dev.umn.edu, dental-clinics-d9.stg.umn.edu, www.dentalclinics.umn.edu, gopherbraces.umn.edu, www.gopherbraces.umn.edu","nels2371, hinte019, dtadege, ehunter, ferna692, kristinw, pbhamidi, peake035, matt, batchiso",dentalclinics.umn.edu,UR - University Relations (URel),None,True,,True,Drupal
1863,Dentistry,"dev, test, prod","dentistry-d8.dev.umn.edu, dentistry-d8.stg.umn.edu, www.dentistry.umn.edu, dentistry.umn.edu, dentistry.prd.umn.edu, oralbiology.umn.edu, mncrest.umn.edu, ohcrc.umn.edu","nels2371, dtadege, hinte019, ehunter, ferna692, kristinw, pbhamidi, peake035, matt, batchiso",dentistry.umn.edu,UR - University Relations (URel),None,True,,True,Drupal
1856,Earl E. Bakken Center for Spirituality & Healing,"urtst, dev, test, prod","csh-d8.dev.umn.edu, csh-d8.stg.umn.edu, csh-d8.prd.umn.edu, www.csh.umn.edu, csh-d8.urtst.umn.edu","urweb, nels2371, dtadege, hinte019, ehunter, ferna692, kristinw, pbhamidi, peake035, matt, batchiso",csh.umn.edu,UR - University Relations (URel),None,True,,True,Drupal
1875,Emergency D8,"dev, test, prod","emergency.prd.umn.edu, www.emergency.umn.edu, emergency.umn.edu, emergency.dev.umn.edu, emergency.stg.umn.edu","nels2371, dtadege, hinte019, ehunter, ferna692, kristinw, pbhamidi, peake035, matt, batchiso",emergency.umn.edu,UR - University Relations (URel),None,True,,True,Drupal
1880,Folwell Theme Demo,"urtst, dev, test, prod","folwell.stg.umn.edu, folwell.dev.umn.edu, folwell.umn.edu, www.folwell.umn.edu, folwell.urtst.umn.edu","sfroehli, nels2371, dtadege, hinte019, ehunter, ferna692, kristinw, pbhamidi, peake035, matt, batchiso",folwell.umn.edu,UR - University Relations (URel),None,True,,True,Drupal
1854,Give to the University of Minnesota,"dev, test, prod","give-d9.dev.umn.edu, give-d9.stg.umn.edu, give-d9.prd.umn.edu, www.give.umn.edu, driven.umn.edu, give.umn.edu, www.driven.umn.edu, plannedgiving.umn.edu, www.plannedgiving.umn.edu, giving.umn.edu, www.giving.umn.edu, mmf.umn.edu, www.mmf.umn.edu, giving.fairview.org","cmahan, awojciec, rein0455, auden",give.umn.edu,UR - University Relations (URel),None,True,,True,Drupal
1859,Government Relations,"urtst, dev, test, prod","government-relations-d8.dev.umn.edu, government-relations-d8.stg.umn.edu, www.government-relations.umn.edu, governmentrelations.umn.edu, www.governmentrelations.umn.edu, govrelations.umn.edu, www.govrelations.umn.edu, advocates.umn.edu, www.advocates.umn.edu, www.legislative-action.umn.edu, legislative-action.umn.edu, www.legislativeaction.umn.edu, legislativeaction.umn.edu, advocate.umn.edu, www.advocate.umn.edu, supporttheu.umn.edu, www.supporttheu.umn.edu, govenment-relations-d8.urtst.umn.edu, university-district.umn.edu, www.university-district.umn.edu","dtadege, nels2371, hinte019, ehunter, ferna692, kristinw, pbhamidi, peake035, matt, batchiso",government-relations.umn.edu,UR - University Relations (URel),None,True,,True,Drupal
1842,Native American Affairs,"dev, test, prod","naa-d10.dev.umn.edu, naa-d10.stg.umn.edu, naa.prd.umn.edu","dtadege, ehunter, ferna692, kristinw, pbhamidi, peake035, matt, batchiso",naa.umn.edu,UR - University Relations (URel),None,True,,True,Drupal
1852,pharmacy-d9.umn.edu,"dev, test, prod","pharmacy-d9.dev.umn.edu, pharmacy-d9.stg.umn.edu, pharmacy-d9.prd.umn.edu, www.pharmacy.umn.edu, pharmacy.umn.edu, www.alliedhealth.umn.edu, alliedhealth.umn.edu","dtadege, hinte019, ehunter, ferna692, kristinw, pbhamidi, peake035, matt, batchiso",pharmacy.umn.edu,UR - University Relations (URel),None,True,,True,Drupal
1843,President Search,"dev, test, prod","president-search-d10.dev.umn.edu, president-search-d10.stg.umn.edu, president-search-d10.prd.umn.edu, www.president-search.umn.edu, president-search.umn.edu","dtadege, ehunter, ferna692, kristinw, pbhamidi, peake035, matt, batchiso",president-search-d10.umn.edu,UR - University Relations (URel),None,True,,True,Drupal
1873,profiles-vetmed.umn.edu,"dev, test, prod","profiles-vetmed.dev.umn.edu, profiles-vetmed.stg.umn.edu, profiles-vetmed.umn.edu, www.profiles-vetmed.umn.edu","dtadege, nels2371, incex011, flynn563, hinte019, ehunter, ferna692, kristinw, pbhamidi, peake035, matt, batchiso",profiles-vetmed.umn.edu,UR - University Relations (URel),None,True,,True,Drupal
