id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
1889,Capital Project Management,"dev, test, prod","cpm-d8.dev.umn.edu, cpm-d8.stg.umn.edu, cpm-d8.prd.umn.edu, cppm.umn.edu, www.cppm.umn.edu, www.cpm.umn.edu",irsfe008,cpm.umn.edu,US - University Services,None,True,,True,Drupal
1891,Facilities Management,"dev, test, prod","facilities-d8.dev.umn.edu, facilities-d8.stg.umn.edu, facilities-d8.prd.umn.edu, signs.umn.edu, www.signs.umn.edu, www.facilities.umn.edu, facilities.umn.edu",irsfe008,facilities.umn.edu,US - University Services,None,True,,True,Drupal
1887,It All Adds Up,"dev, test, prod","italladdsup-d8.dev.umn.edu, italladdsup-d8.stg.umn.edu, italladdsup-d8.prd.umn.edu, www.italladdsup.umn.edu, sustaintc.umn.edu, www.sustaintc.umn.edu, choosereuse.umn.edu, sustainable.umn.edu, www.sustainable.umn.edu, sustainable-d8.stg.umn.edu, sustainable-d8.dev.umn.edu, italladdsup.umn.edu, sustainability.umn.edu, www.sustainability.umn.edu",irsfe008,sustainable.umn.edu,US - University Services,None,True,,True,Drupal
1894,Parking & Transportation Services PCI,"dev, test, prod","pts-d8.dev.umn.edu, pts-d8.stg.umn.edu, pts-d8.prd.umn.edu, www.pts.umn.edu, parklot.umn.edu, fleet.umn.edu, park.umn.edu, bus.umn.edu, bike.umn.edu, walk.umn.edu, pts.umn.edu, transportation.umn.edu","irsfe008, nickm, devel016",pts.umn.edu,US - University Services,None,True,,True,Drupal
1893,"Planning, Space & Real Estate","dev, test, prod","psre.dev.umn.edu, psre.stg.umn.edu, spacemanagement.umn.edu, www.realestate.umn.edu, workplus.umn.edu, www.umorepark.umn.edu, umorepark.umn.edu, realestate.umn.edu, www.spacemanagement.umn.edu, www.workplus.umn.edu, osm.umn.edu, www.osm.umn.edu",irsfe008,psre.umn.edu,US - University Services,None,True,,True,Drupal
1897,publicsafety.umn.edu,"dev, test, prod","publicsafety.dev.umn.edu, publicsafety.stg.umn.edu, publicsafety.prd.umn.edu, www.police.umn.edu, police.umn.edu, www.publicsafety.umn.edu, safety.umn.edu, www.safety.umn.edu, psecc.umn.edu","irsfe008, incex011, broek023",publicsafety.umn.edu,US - University Services,None,True,,True,Drupal
1884,Snow Control Tools User Guide,"test, prod","snowcontroltoolsuserguide.stg.umn.edu, snowcontroltoolsuserguide.dev.umn.edu, snowcontroltoolsuserguide.dl8.umn.edu","siqv0001, ande4255",snowcontroltoolsuserguide.umn.edu,US - University Services,None,True,,True,Drupal
1890,Study Space,"dev, test, prod","studyspace-d8.dev.umn.edu, studyspace-d8.stg.umn.edu, www.studyspace.umn.edu, studyspace.umn.edu, studyspace.prd.umn.edu",irsfe008,studyspace.umn.edu,US - University Services,None,True,,True,Drupal
1881,Sustainability,"dev, test","sustainability.prd.umn.edu, sustainability.dev.umn.edu, sustainability.stg.umn.edu",irsfe008,sustainability.umn.edu,US - University Services,None,True,,True,Drupal
1886,U Card Crookston,"dev, test, prod","ucard-crk.dev.umn.edu, ucard-crk.stg.umn.edu","irsfe008, nickm",ucard.crk.umn.edu,US - University Services,None,True,,True,Drupal
1885,U Card Duluth,"dev, test, prod","ucard-d.dev.umn.edu, ucard-d.stg.umn.edu","irsfe008, batchiso, sbradt, amanteuf, nickm",ucard.d.umn.edu,US - University Services,None,True,,True,Drupal
1892,UCard,"dev, test, prod","ucard-d8.dev.umn.edu, ucard-d8.stg.umn.edu, ucard-d8.prd.umn.edu, www.ucard.umn.edu, gophergold.umn.edu, accounts.umn.edu","irsfe008, nickm",ucard.umn.edu,US - University Services,None,True,,True,Drupal
1882,UMN Biosafety,"dev, test, prod","biosafety.dev.umn.edu, biosafety.stg.umn.edu, biosafety.prd.umn.edu",irsfe008,biosafety.umn.edu,US - University Services,None,True,,True,Drupal
1883,UMN Public Safety Intranet,"dev, test, prod","umpd.d9.umn.edu, umpd-d9.dev.umn.edu, umpd-d9.stg.umn.edu, umpd-d9.prd.umn.edu","mcgoffin, irsfe008",umpd.umn.edu,US - University Services,None,True,,True,Drupal
1895,University Health & Safety,"dev, test, prod","uhs-d8.dev.umn.edu, uhs-d8.stg.umn.edu, www.uhs.umn.edu, uhs-d8.prd.umn.edu, bohd.umn.edu, www.bohd.umn.edu, bcd.umn.edu, www.bcd.umn.edu, radsafety.umn.edu, www.radsafety.umn.edu, dem.umn.edu, www.dem.umn.edu, umems.umn.edu, www.umems.umn.edu, dehs.umn.edu, www.dehs.umn.edu, emergencyresponse.umn.edu, www.emergencyresponse.umn.edu, hsrm.umn.edu, www.hsrm.umn.edu, uhs.umn.edu","irsfe008, cmlemer",hsrm.umn.edu,US - University Services,None,True,,True,Drupal
1888,University Services,"dev, test, prod","uservices-d8.dev.umn.edu, uservices-d8.stg.umn.edu, www.uservices.umn.edu, uservices-d8.prd.umn.edu, uservices.umn.edu",irsfe008,uservices.umn.edu,US - University Services,None,True,,True,Drupal
1896,University Services Information Technology,prod,"usit.umn.edu, usis.umn.edu, pr.umn.edu, key-request.umn.edu, www.pr.umn.edu, www.key-request.umn.edu",irsfe008,usit.umn.edu,US - University Services,None,True,,True,Drupal
