id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
36,Office for Community Standards,prod,"communitystandards.dl9.umn.edu, communitystandards-dl9.dev.umn.edu, communitystandards-dl9.stg.umn.edu, www.communitystandards.umn.edu","fonta056, leibfrie",communitystandards.umn.edu,AAP - VP of Academic Affairs/Provost,None,False,,True,
2,Cultural Centers CMU,"dev, test, prod","cultural-centers-cmu.dev.umn.edu, cultural-centers-cmu.stg.umn.edu",fonta056,cultural-centers-cmu.umn.edu,AAP - VP of Academic Affairs/Provost,None,False,,True,
1348,pain-opioid-research.umn.edu,"dev, test, prod","pain-opioid-research.dev.umn.edu, pain-opioid-research.stg.umn.edu",kreb0001,pain-opioid-research.umn.edu,MED - Medical School,Inactive,False,,True,
218,E-Games Lab,prod,"egameslab.dev.umn.edu, egameslab.stg.umn.edu","lars7049, malini",egameslab.umn.edu,CDES - College of Design,None,False,,True,
14,Apply MSROP,"dev, test, prod","apply-msrop.dev.umn.edu, apply-msrop.stg.umn.edu, apply-pathways.umn.edu, apply-msrop.umn.edu","meyer150, lang0925, swart113",apply-pathways.umn.edu,AAP - VP of Academic Affairs/Provost,None,False,,True,
192,Behrens Lab,"dev, test, prod","behrenslab.dl8.umn.edu, behrenslab.stg.umn.edu, behrenslab.umn.edu",sbehrens,behrenslab.umn.edu,CBS - College of Biological Sciences,None,False,,True,
4,SUA Art,"dev, test, prod","sua-art.umn.edu, sua-art.dev.umn.edu, sua-art.stg.umn.edu",fonta056,sua-art.umn.edu,AAP - VP of Academic Affairs/Provost,None,False,,True,
15,Apply URS,"dev, test, prod","apply-urs.dev.umn.edu, apply-urs.stg.umn.edu","meyer150, lang0925, swart113",apply-urs.umn.edu,AAP - VP of Academic Affairs/Provost,None,False,,True,
11,Office of Distributed Learning,"dev, test, prod","odl.dev.umn.edu, odl.stg.umn.edu, odl.umn.edu","meyer150, swart113",odl.umn.edu,AAP - VP of Academic Affairs/Provost,None,False,,True,
104,Masopust & Vezys Laboratory,"dev, test, prod","masopustvezyslabs.stg.umn.edu, masopustvezyslabs.dev.umn.edu, masopustvezyslabs.dl9.umn.edu","conem003, vvezys",masopustvezyslabs.umn.edu,AHC - Academic Health Center,None,False,,True,
19,CURA Evictions Research,"dev, test, prod","evictions.dl.umn.edu, evictions.stg.umn.edu, evictions.dev.umn.edu, evictions.dl9.umn.edu",jrmiller,evictions.cura.umn.edu,AAP - VP of Academic Affairs/Provost,None,False,,True,
