id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
234,CEHD Site Tracker,"dev, test","cehd-sites.dev.umn.edu, cehd-sites.stg.umn.edu","jbehr, turg0018",cehd-sites.umn.edu,CEHD - College of Education & Human Development,Inactive,False,,False,
686,Liuqing Yang,prod,"yang.dev.umn.edu, yang.stg.umn.edu",qingqing,yang.umn.edu,CSE,Inactive,False,,False,
489,Minnesota Wood Innovation Team,"test, prod","woodinnovation.dl8.umn.edu, woodinnovation.dev.umn.edu, woodinnovation.stg.umn.edu",lamxx025,woodinnovation.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",Inactive,False,,False,
859,Keith Olive,prod,"olive.dev.umn.edu, olive.stg.umn.edu","olive, khand113",olive.umn.edu,CSE - College of Science & Engineering,Inactive,False,,False,
1824,UMR Public Health,prod,"umrpublichealth.dev.umn.edu, umrpublichealth.stg.umn.edu","kosiecki, jbarnett",umrpublichealth.umn.edu,UMR - Rochester,Inactive,False,,False,
681,Levin Research Group,prod,"levin-cege.dev.umn.edu, levin-cege.stg.umn.edu",mcdo0486,levin.cege.umn.edu,CSE,Inactive,False,,False,
764,Pomerantz Research Group,"test, prod","pomerantz.stg.umn.edu, pomerantz.dev.umn.edu, pomerantz.dl9.umn.edu, pomerantz.chem.umn.edu","schul132, buchh112",pomerantz.umn.edu,CSE - CHEM - Dept of Chemistry,Inactive,False,,False,
898,AEM 2017,prod,"aem2017-cege.dev.umn.edu, aem2017-cege.stg.umn.edu, aem2017-cege.dl9.umn.edu",mcdo0486,aem2017.cege.umn.edu,CSE - College of Science & Engineering,Inactive,False,,False,
863,Jungseok Hong,"test, prod","jungseokhong.stg.umn.edu, jungseokhong.dev.umn.edu, jungseokhong.dl9.umn.edu",jungseok,jungseokhong.umn.edu,CSE - College of Science & Engineering,Inactive,False,,False,
72,Morrill Hall Shared Service,dev,"mhsst.dev.umn.edu, mhsst.stg.umn.edu","meyer150, lang0925, swart113",mhsst.umn.edu,AAP - VP of Academic Affairs/Provost,Inactive,False,,False,
712,Derby Workshop,"test, prod","iwmcg-9.stg.umn.edu, iwmcg-9.dev.umn.edu, iwmcg-9.dl8.umn.edu, iwmcg-9.cems.umn.edu",mcdo0486,iwmcg-9.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,Inactive,False,,False,
708,Ellis Teaching Page,"dev, test, prod","ellis.stg.umn.edu, ellis.dev.umn.edu, ellis.dl9.umn.edu",schul132,ellis.chem.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,Inactive,False,,False,
1032,FlexPass Commuting Study,prod,flexpass.dev.umn.edu,"siqv0001, ande4255",flexpass.umn.edu,CTS - Center for Transportation Studies,Inactive,False,,False,
876,melyasi,"dev, test, prod","melyasi.stg.umn.edu, melyasi.dev.umn.edu, melyasi.dl9.umn.edu",melyasi,melyasi.umn.edu,CSE - College of Science & Engineering,Inactive,False,,False,
458,CFANS Alumni Global Learning Adventure,"test, prod","agla.stg.umn.edu, agla.dl8.umn.edu, www.agla.cfans.umn.edu, agla.cfans.umn.edu",lamxx025,agla.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",Inactive,False,,False,
