Title,Environments,Aliases,Owners,Primary URL (Site folder name),Department,Notes
M Vote,prod,"m-vote.dev.umn.edu, m-vote.stg.umn.edu, m-vote.umn.edu","meyer150, swart113, lang0925",m-vote.umn.edu,AAP - VP of Academic Affairs/Provost,
Les Bolstad Golf Course,"dev, test, prod","golf.dev.umn.edu, golf.stg.umn.edu, uofmgolf.com, www.uofmgolf.com","fonta056, wick0294",golf.umn.edu,AAP - VP of Academic Affairs/Provost,
The Health Emergency Response Office,prod,"healthemergencyresponse.prd.umn.edu, healthemergencyresponse.dev.umn.edu, healthemergencyresponse.stg.umn.edu, www.healthemergencyresponse.umn.edu",dlv,healthemergencyresponse.umn.edu,AAP - VP of Academic Affairs/Provost,
Tutoring & Academic Success Center,"dev, test, prod","tasc.dev.umn.edu, tasc.stg.umn.edu, tasc.prd.umn.edu, sass.umn.edu, www.sass.umn.edu, smart.umn.edu, www.tasc.umn.edu","meyer150, lang0925, swart113",tasc.umn.edu,AAP - VP of Academic Affairs/Provost,
Weisman Art Museum,"dev, test, prod","wam.dev.umn.edu, wam.stg.umn.edu, weisman.umn.edu, wam.prd.umn.edu, wam.umn.edu","meyer150, lang0925, swart113",wam.umn.edu,AAP - VP of Academic Affairs/Provost,
Health,"dev, test, prod","health-d9.dev.umn.edu, health-d9.stg.umn.edu, www.health-d9.umn.edu, health.prd.umn.edu, www.health.umn.edu, researchservices.umn.edu, www.researchservices.umn.edu","fuchs142, dlv, incex011, moria116, nuebl001, kirkw068, marks265, broek023, engeb013",health.umn.edu,AAP - VP of Academic Affairs/Provost,
Virology,"dev, test, prod","virology-d9.dev.umn.edu, virology-d9.stg.umn.edu, virology-d9.prd.umn.edu, www.virology.umn.edu","dlv, fuchs142, incex011, broek023, moria116, nuebl001, kirkw068, marks265, lang0925",virology.umn.edu,AAP - VP of Academic Affairs/Provost,
M Engage,"dev, test, prod","u-engage.dev.umn.edu, u-engage.stg.umn.edu, u-engage.prd.umn.edu, m-engage.umn.edu","meyer150, lang0925, swart113",u-engage.umn.edu,AAP - VP of Academic Affairs/Provost,
Boynton Health,"dev, test, prod","boynton-d9.prd.umn.edu, boynton-d9.dev.umn.edu, boynton-d9.stg.umn.edu, bhs.umn.edu, www.bhs.umn.edu, www.boynton.umn.edu","golde002, dougl361, dougl330, angus025, maxwe266, bh-marcomm, tvet0004, fonta056",boynton.umn.edu,AAP - VP of Academic Affairs/Provost,
Cura 50,"dev, test, prod","cura50-d9.dev.umn.edu, cura50-d9.stg.umn.edu, www.cura50.umn.edu","meyer150, lang0925, swart113",cura50.umn.edu,AAP - VP of Academic Affairs/Provost,
