Title,Environments,Aliases,Owners,Primary URL (Site folder name),Department,Notes
Center for Developmental NeuroImaging,prod,"cdni.dev.umn.edu, cdni.stg.umn.edu",kweldon,cdni.umn.edu,AAP - VP of Academic Affairs/Provost,
Cultural Centers CMU,"dev, test, prod","cultural-centers-cmu.dev.umn.edu, cultural-centers-cmu.stg.umn.edu",fonta056,cultural-centers-cmu.umn.edu,AAP - VP of Academic Affairs/Provost,
SUA Art,"dev, test, prod","sua-art.umn.edu, sua-art.dev.umn.edu, sua-art.stg.umn.edu",fonta056,sua-art.umn.edu,AAP - VP of Academic Affairs/Provost,
Sample Plan,"dev, test, prod","sampleplan.dev.umn.edu, sampleplan.stg.umn.edu",meyer150,sampleplan.umn.edu,AAP - VP of Academic Affairs/Provost,
Office of Distributed Learning,"dev, test, prod","odl.dev.umn.edu, odl.stg.umn.edu, odl.umn.edu","meyer150, swart113",odl.umn.edu,AAP - VP of Academic Affairs/Provost,
Apply MSROP,"dev, test, prod","apply-msrop.dev.umn.edu, apply-msrop.stg.umn.edu, apply-pathways.umn.edu, apply-msrop.umn.edu","meyer150, lang0925, swart113",apply-pathways.umn.edu,AAP - VP of Academic Affairs/Provost,
Apply URS,"dev, test, prod","apply-urs.dev.umn.edu, apply-urs.stg.umn.edu","meyer150, lang0925, swart113",apply-urs.umn.edu,AAP - VP of Academic Affairs/Provost,
CURA Evictions Research,"dev, test, prod","evictions.dl.umn.edu, evictions.stg.umn.edu, evictions.dev.umn.edu, evictions.dl9.umn.edu",jrmiller,evictions.cura.umn.edu,AAP - VP of Academic Affairs/Provost,
Provost Web Support,"dev, test, prod","websupport-provost.dev.umn.edu, websupport-provost.stg.umn.edu","meyer150, lang0925, swart113",websupport.provost.umn.edu,AAP - VP of Academic Affairs/Provost,
Detachment 415 University of Minnesota Air Force ROTC,"test, prod","www.afrotc.umn.edu, afrotc.stg.umn.edu, afrotc.dev.umn.edu, afrotc.dl9.umn.edu",servi022,afrotc.umn.edu,AAP - VP of Academic Affairs/Provost,
CURA Twin Cities Gentrification Project,"test, prod","gentrification.stg.umn.edu, gentrification.dev.umn.edu, gentrification.dl9.umn.edu",jrmiller,gentrification.umn.edu,AAP - VP of Academic Affairs/Provost,
SNAP for UMN Students,prod,"snap.dev.umn.edu, snap.stg.umn.edu",onarheim,snap.umn.edu,AAP - VP of Academic Affairs/Provost,
hire.umn.edu,"dev, test, prod","hire.umn.edu, hire.dev.umn.edu, hire.stg.umn.edu","jhoarn, fonta056",hire.umn.edu,AAP - VP of Academic Affairs/Provost,
Human Milk and Nutrition Research Group,"dev, test, prod","milkresearch.dev.umn.edu, milkresearch.stg.umn.edu, www.milkresearch.umn.edu",jens0490,milkresearch.umn.edu,AAP - VP of Academic Affairs/Provost,
Office for Community Standards,prod,"communitystandards.dl9.umn.edu, communitystandards-dl9.dev.umn.edu, communitystandards-dl9.stg.umn.edu, www.communitystandards.umn.edu","fonta056, leibfrie",communitystandards.umn.edu,AAP - VP of Academic Affairs/Provost,
Working Better Together,"dev, test, prod","wbt.dev.umn.edu, wbt.stg.umn.edu, wbt.prd.umn.edu","meyer150, lang0925, swart113",wbt.umn.edu,AAP - VP of Academic Affairs/Provost,
Transfer Student Experience,"dev, test, prod","transfer.dev.umn.edu, transfer.stg.umn.edu, transfer.prd.umn.edu, www.transfer.umn.edu","meyer150, lang0925, swart113",transfer.umn.edu,AAP - VP of Academic Affairs/Provost,
umjf.umn.edu,prod,"umjf.dev.umn.edu, umjf.stg.umn.edu, jobfair.umn.edu, www.jobfair.umn.edu","steph595, rahrah",umjf.umn.edu,AAP - VP of Academic Affairs/Provost,
Career Services,"test, prod","career-dl8.dev.umn.edu, career.dl8.umn.edu, career.stg.umn.edu, www.career.umn.edu",jhoarn,career.umn.edu,AAP - VP of Academic Affairs/Provost,
Coursera for Minnesota,prod,coursera.umn.edu,"senenge, vandover",coursera.umn.edu,AAP - VP of Academic Affairs/Provost,
The Gunlicks-Stoessel Lab,prod,"gunlicks-stoessel-lab.dev.umn.edu, gunlicks-stoessel-lab.stg.umn.edu",beckl118,gunlicks-stoessel-lab.umn.edu,AHC - Academic Health Center,
HealthEdToGo,prod,"healthedtogo.dev.umn.edu, healthedtogo.stg.umn.edu",bjs,healthedtogo.umn.edu,AHC - Academic Health Center,
MnDRIVE DBS Core,"test, prod","mndrivedbscore.dev.umn.edu, mndrivedbscore.stg.umn.edu, mndrivedbscore.umn.edu, dbs.umn.edu",thom8868,mndrivedbscore.umn.edu,AHC - Academic Health Center,
CMRR Research,"test, prod","research-cmrr.dev.umn.edu, research-cmrr.stg.umn.edu",csoria,research.cmrr.umn.edu,AHC - Academic Health Center,
Minnesota Precision Medicine Collaborative,"test, prod","mpmc.stg.umn.edu, mpmc.dev.umn.edu, mpmc.dl9.umn.edu","dlv, mcgo0064",mpmc.umn.edu,AHC - Academic Health Center,
Fetal Alcohol Spectrum Disorders Research,"dev, test, prod","fasd.stg.umn.edu, fasd.dev.umn.edu, fasd.dl9.umn.edu","ernst260, antho248",fasd.umn.edu,AHC - Academic Health Center,
Neurology Research Development,"dev, test, prod","neuroresearchdev.stg.umn.edu, neuroresearchdev.dev.umn.edu, neuroresearchdev.dl9.umn.edu",hans5417,neuroresearchdev.umn.edu,AHC - Academic Health Center,
Breast Oncology – Life after Diagnosis (BOLD) Cohort Study,"test, prod","bold.stg.umn.edu, bold.dev.umn.edu, bold.dl9.umn.edu",blaes004,bold.umn.edu,AHC - Academic Health Center,
Udall Center of Excellence in Parkinson's Disease Research,"test, prod","udall.stg.umn.edu, udall.dev.umn.edu, udall.dl9.umn.edu",hans5471,udall.umn.edu,AHC - Academic Health Center,
Potter Lab,"dev, test, prod","potterlab.stg.umn.edu, potterlab.dev.umn.edu, potterlab.dl9.umn.edu",dapotter,potterlab.umn.edu,AHC - Academic Health Center,
neuroscience,"test, prod","www.neuroscience.umn.edu, neuroscience-d9.stg.umn.edu, neuroscience-d9.dev.umn.edu, neuroscience.dl9.umn.edu, neuroscience.umn.edu",paton,neuroscience.umn.edu,AHC - Academic Health Center,
Association of Multicultural Scientists,"test, prod","ams.stg.umn.edu, ams.dev.umn.edu, ams.dl9.umn.edu","good0546, mcca1048",ams.umn.edu,AHC - Academic Health Center,
Schallmo Lab,"dev, test, prod","schallmolab.stg.umn.edu, schallmolab.dev.umn.edu, schallmolab.dl9.umn.edu","kmac, schal110",schallmolab.umn.edu,AHC - Academic Health Center,
Zhang Research Group,"test, prod","ruizhang.stg.umn.edu, ruizhang.dev.umn.edu, ruizhang.dl9.umn.edu",zhan1386,ruizhang.umn.edu,AHC - Academic Health Center,
The Chemical Biology Initiative,"test, prod","www.chembio.umn.edu, chembio.stg.umn.edu, chembio.dev.umn.edu, chembio.dl9.umn.edu",henn0305,chembio.umn.edu,AHC - Academic Health Center,
Leung Lab,"test, prod","leunglab.stg.umn.edu, leunglab.dev.umn.edu, leunglab.dl9.umn.edu",ctleung,leunglab.umn.edu,AHC - Academic Health Center,
"Consortium on One Medicine, One Science","dev, test, prod","comos.stg.umn.edu, comos.dev.umn.edu, comos.dl9.umn.edu",keauxier,comos.umn.edu,AHC - Academic Health Center,
Medical Student Council,"test, prod","medstudentcouncil.stg.umn.edu, medstudentcouncil.dev.umn.edu, medstudentcouncil.dl9.umn.edu, medstudentcouncil.umn.edu","doeng005, gale0061, adangol",medstudentcouncil.umn.edu,AHC - Academic Health Center,
Bierle Lab,"test, prod","bierle.stg.umn.edu, bierle.dev.umn.edu, bierle.dl9.umn.edu",cjbierle,bierle.umn.edu,AHC - Academic Health Center,
Masopust & Vezys Laboratory,"dev, test, prod","masopustvezyslabs.stg.umn.edu, masopustvezyslabs.dev.umn.edu, masopustvezyslabs.dl9.umn.edu","conem003, vvezys",masopustvezyslabs.umn.edu,AHC - Academic Health Center,
Steven Shen's Lab,"dev, prod","shen.dev.umn.edu, shen.stg.umn.edu","nanda072, shens",shen.umn.edu,AHC - Academic Health Center,
National Tribal Tobacco Conference,prod,"nttc.dev.umn.edu, nttc.stg.umn.edu",dlv,nttc.umn.edu,AHC - Academic Health Center,
COMPASS,prod,"compass.dev.umn.edu, compass.stg.umn.edu",kenny048,compass.umn.edu,AHC - Academic Health Center,
Subree Lab,"test, prod","subreelab.stg.umn.edu, subreelab.dev.umn.edu, subreelab.dl8.umn.edu",subree,subreelab.umn.edu,AHC - Academic Health Center,
Cancer Center Survivorship Research Forum,prod,"ccsrf.umn.edu, ccsrf.dev.umn.edu",ford0439,ccsrf.umn.edu,AHC - Academic Health Center,
The William R. Kennedy Lab,"dev, test, prod","kennedylab.dl8.umn.edu, kennedylab.stg.umn.edu, kennedylab.dev.umn.edu",camil015,kennedylab.med.umn.edu,AHC - Academic Health Center,
TeleFamilies,"dev, test, prod","telefamilies.dl8.umn.edu, telefamilies.stg.umn.edu, telefamilies.umn.edu",pfan0001,telefamilies.umn.edu,AHC - Academic Health Center,
Human Resources Site,prod,cancerhr.umn.edu,jalkire,cancerhr.umn.edu,AHC - Academic Health Center,
P4P Update,prod,"p4presearch.umn.edu, p4pupdate.umn.edu","hilli076, sati0003, conwa277",p4pupdate.umn.edu,AHC - Academic Health Center,
Ling Li Lab,prod,li-lab.umn.edu,"dlv, palap005",li-lab.umn.edu,AHC - Academic Health Center,
Arboretum Intranet,prod,"arbintranet.dev.umn.edu, arbintranet.stg.umn.edu",crowe015,arbintranet.umn.edu,ARB - Arboretum,
Project and Change Management Collaborators,"dev, test, prod","pcmc.stg.umn.edu, pcmc.dev.umn.edu, pcmc.dl9.umn.edu, www.pcmc.umn.edu","mathe011, kweber",pcmc.umn.edu,ASR - Academic Support Resources,
Academic Support Resources Supervisors,"test, prod","asrsupervisors.stg.umn.edu, asrsupervisors.dev.umn.edu, asrsupervisors.dl9.umn.edu",rceresna,asrsupervisors.umn.edu,ASR - Academic Support Resources,
One Stop Sandbox,"dev, test, prod","onestop.dl9.umn.edu, onestop-dl9.dev.umn.edu, onestop-dl9.stg.umn.edu, onestop-sandbox.dev.umn.edu, onestop-sandbox.stg.umn.edu, onestop-sandbox.umn.edu","thoma127, isen0011, whit0694, dlagerro, eeklund, ande7947, simps614",onestop-sandbox.umn.edu,ASR - Academic Support Resources,
Transit Pass Activation,prod,"getetp.dev.umn.edu, getetp.stg.umn.edu, getetp.prd.umn.edu",nickm,getetp.umn.edu,AUXS - Auxiliary Services,
Creative Services,prod,"creative-ideas.dev.umn.edu, creative-ideas.stg.umn.edu",anderslj,creative-ideas.umn.edu,AUXS - Auxiliary Services,
University of Minnesota Communicator's Forum,"dev, test, prod","umcf-d9.dev.umn.edu, umcf-d9.stg.umn.edu, umcf-d9.prd.umn.edu, umcf.umn.edu",nickm,umcf.umn.edu,AUXS - Auxiliary Services,
Auxiliary Services,"dev, test, prod","auxs.dev.umn.edu, auxs.stg.umn.edu, www.auxs.umn.edu","lambe144, anderslj",auxs.umn.edu,AUXS - Auxiliary Services,
Pretty Good Guided Inquiry,"dev, prod","pggi.dev.umn.edu, pggi.stg.umn.edu","chrislee, waltonen",pggi.umn.edu,CBS - College of Biological Sciences,
